,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
19192,NC,28174,3420,3420,142146,3030,111225
19193,NC,28202,7630,7630,796957,7220,652176
19194,NC,28203,9900,9900,1112176,9190,873148
19195,NC,28204,4200,4200,403550,3890,307000
19196,NC,28205,22750,22750,1242607,19970,1036034
19197,NC,28206,5790,5790,175824,5300,157993
19198,NC,28207,4360,4360,2009407,3230,954366
19199,NC,28208,17340,17340,521577,15850,453876
19200,NC,28209,11780,11780,1402165,10180,965491
19201,NC,28210,22610,22610,2394550,18710,1519332
19202,NC,28211,13870,13870,2810656,11280,1682476
19203,NC,28212,17840,17840,565311,15350,464829
19204,NC,28213,19000,19000,733797,16820,623501
19205,NC,28214,18780,18780,896068,16630,747744
19206,NC,28215,26700,26700,1074133,22900,847631
19207,NC,28216,26210,26210,1108437,23410,931276
19208,NC,28217,12890,12890,486177,11360,414983
19209,NC,28226,19030,19030,2788813,15290,1695967
19210,NC,28227,26010,26010,1438634,21710,1055646
19211,NC,28262,18650,18650,871443,17290,761710
19212,NC,28269,37110,37110,2057179,33130,1747991
19213,NC,28270,15240,15240,1765010,12790,1258439
19214,NC,28273,17950,17950,866294,16210,762240
19215,NC,28277,31570,31570,3939815,26950,2938300
19216,NC,28278,13480,13480,1196351,12000,910925
19217,NC,28301,6060,6060,186987,5130,134160
19218,NC,28303,13780,13780,753016,11200,477374
19219,NC,28304,15930,15930,674408,13320,484799
19220,NC,28305,2890,2890,247205,2190,124894
19221,NC,28306,17300,17300,880207,15140,691961
19222,NC,28307,5230,5230,210551,5160,200915
19223,NC,28308,110,110,2098,110,2113
19224,NC,28311,15290,15290,750533,13070,548081
19225,NC,28312,8020,8020,433690,6730,314832
19226,NC,28314,24630,24630,1000305,21650,788900
19227,NC,28315,5580,5580,260581,4790,201353
19228,NC,28318,1960,1960,87839,1670,67289
19229,NC,28320,3090,3090,130755,2610,100853
19230,NC,28323,1750,1750,82411,1620,69217
19231,NC,28325,230,230,10524,200,7409
19232,NC,28326,8380,8380,403284,7610,340278
19233,NC,28327,7100,7100,421003,5770,294448
19234,NC,28328,10270,10270,455380,8740,323216
19235,NC,28330,320,320,9865,280,8695
19236,NC,28332,340,340,12458,280,9054
19237,NC,28333,4660,4660,153028,4070,121702
19238,NC,28334,9880,9880,463014,8340,315498
19239,NC,28337,3950,3950,180633,3330,118212
19240,NC,28338,1740,1740,66924,1490,51236
19241,NC,28339,2810,2810,110807,2360,84909
19242,NC,28340,3890,3890,126771,3300,96060
19243,NC,28341,1690,1690,69454,1500,53088
19244,NC,28342,110,110,5270,110,4385
19245,NC,28343,560,560,18047,500,14292
19246,NC,28344,1210,1210,48652,1060,39455
19247,NC,28345,4750,4750,173965,4070,131227
19248,NC,28347,410,410,11569,330,9193
19249,NC,28348,15200,15200,719421,13400,582918
19250,NC,28349,1480,1480,69923,1260,46970
19251,NC,28350,180,180,7014,150,5243
19252,NC,28351,1930,1930,66742,1680,51996
19253,NC,28352,8670,8670,351279,7320,246111
19254,NC,28356,2120,2120,113194,1810,88210
19255,NC,28357,1070,1070,40572,920,32257
19256,NC,28358,13060,13060,552183,11220,403581
19257,NC,28360,4700,4700,169847,4070,137720
19258,NC,28363,440,440,15638,390,11873
19259,NC,28364,4900,4900,158256,4260,129335
19260,NC,28365,6560,6560,275744,5640,201144
19261,NC,28366,2100,2100,100256,1810,69886
19262,NC,28367,100,100,2712,90,2478
19263,NC,28369,880,880,28370,760,23264
19264,NC,28371,2840,2840,117107,2460,93340
19265,NC,28372,5190,5190,199957,4310,149243
19266,NC,28373,1120,1120,47230,940,36317
19267,NC,28374,8540,8540,944069,5460,442576
19268,NC,28375,120,120,4847,100,3603
19269,NC,28376,16620,16620,727104,14910,602615
19270,NC,28377,4370,4370,142710,3760,111155
19271,NC,28379,9680,9680,388016,8350,289541
19272,NC,28382,2840,2840,117434,2410,88922
19273,NC,28383,2780,2780,92700,2390,68817
19274,NC,28384,4580,4580,164150,3970,131363
19275,NC,28385,1350,1350,55478,1150,41877
19276,NC,28386,2060,2060,61899,1760,51610
19277,NC,28387,6990,6990,523700,5190,299078
19278,NC,28390,9200,9200,385530,8160,319114
19279,NC,28391,2400,2400,124872,2000,93214
19280,NC,28392,690,690,28321,580,21911
19281,NC,28393,840,840,33006,740,26555
19282,NC,28394,2190,2190,129786,1770,87831
19283,NC,28395,1120,1120,59891,930,42973
19284,NC,28396,1140,1140,49724,930,33070
19285,NC,28398,2830,2830,98875,2430,72004
19286,NC,28399,750,750,29369,640,23357
19287,NC,28401,9840,9840,380139,8470,267824
19288,NC,28403,16000,16000,1024414,13290,596701
19289,NC,28405,15180,15180,1183556,12050,645639
19290,NC,28409,15320,15320,1410907,12030,879258
19291,NC,28411,16940,16940,1312158,13600,853193
19292,NC,28412,18980,18980,1064187,15140,707373
19293,NC,28420,1410,1410,56139,1190,41244
19294,NC,28421,640,640,24417,510,17990
19295,NC,28422,3310,3310,195435,2400,102908
19296,NC,28423,860,860,36284,740,30030
19297,NC,28425,4290,4290,190374,3540,138608
19298,NC,28428,3430,3430,237375,2640,152148
19299,NC,28429,3660,3660,176665,3020,127509
19300,NC,28430,710,710,30309,600,22600
19301,NC,28431,2650,2650,97776,2260,75894
19302,NC,28432,750,750,31631,650,25619
19303,NC,28433,1790,1790,76170,1560,52753
19304,NC,28434,470,470,17688,390,12898
19305,NC,28435,1020,1020,37957,840,28388
19306,NC,28436,890,890,41058,750,31493
19307,NC,28438,610,610,27975,500,20809
19308,NC,28439,540,540,25082,460,14736
19309,NC,28441,1240,1240,45741,1060,35470
19310,NC,28442,630,630,23334,510,17376
19311,NC,28443,9980,9980,702103,7860,465505
19312,NC,28444,890,890,40340,740,27344
19313,NC,28445,4130,4130,239760,3320,161934
19314,NC,28447,500,500,24466,420,14779
19315,NC,28448,360,360,14358,300,12073
19316,NC,28449,1000,1000,89490,700,46201
19317,NC,28450,940,940,57399,750,36409
19318,NC,28451,15530,15530,976342,12050,589053
19319,NC,28452,330,330,8304,290,6371
19320,NC,28453,1430,1430,46594,1260,36434
19321,NC,28454,1250,1250,48730,1080,38737
19322,NC,28455,720,720,30291,620,24105
19323,NC,28456,1570,1570,62174,1290,45540
19324,NC,28457,4660,4660,211458,3980,166594
19325,NC,28458,2290,2290,79692,2000,60013
19326,NC,28460,5150,5150,295244,4260,213908
19327,NC,28461,10180,10180,1068721,6550,403000
19328,NC,28462,5390,5390,267174,3910,148078
19329,NC,28463,2870,2870,108074,2440,80436
19330,NC,28464,890,890,30337,780,23911
19331,NC,28465,3770,3770,261396,2520,130868
19332,NC,28466,3870,3870,195456,3130,117216
19333,NC,28467,5110,5110,305500,2850,109230
19334,NC,28468,2370,2370,164936,1300,54014
19335,NC,28469,3840,3840,313206,2420,126989
19336,NC,28470,4330,4330,195236,3320,120043
19337,NC,28472,7400,7400,315093,6130,221092
19338,NC,28478,1880,1880,73515,1570,56152
19339,NC,28479,2500,2500,136296,2010,98461
19340,NC,28480,1520,1520,252203,1060,101071
19341,NC,28501,7100,7100,241088,6050,172182
19342,NC,28504,9040,9040,438759,7530,294972
19343,NC,28508,970,970,34918,840,26441
19344,NC,28510,730,730,41973,520,21404
19345,NC,28511,240,240,10013,180,6197
19346,NC,28512,1750,1750,140723,1130,60468
19347,NC,28513,4140,4140,184612,3440,134567
19348,NC,28515,820,820,32098,680,21182
19349,NC,28516,5190,5190,298456,3900,165379
19350,NC,28518,3260,3260,135831,2720,101881
19351,NC,28519,330,330,14047,240,9100
