,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
1,AL,35004,5210,5210,290260,4550,234833
2,AL,35005,3100,3100,121690,2660,98565
3,AL,35006,1200,1200,57418,1040,43707
4,AL,35007,11940,11940,697882,10180,545418
5,AL,35010,7910,7910,384319,6700,266658
6,AL,35014,1620,1620,75228,1410,57364
7,AL,35016,7130,7130,366988,5680,262108
8,AL,35019,890,890,38993,740,30460
9,AL,35020,9050,9050,251540,7930,207009
10,AL,35022,9800,9800,551747,8270,432275
11,AL,35023,10050,10050,469381,8330,358387
12,AL,35031,2860,2860,121339,2400,95760
13,AL,35033,1380,1380,81906,1160,59485
14,AL,35034,1390,1390,52266,1230,40327
15,AL,35035,570,570,37725,460,21504
16,AL,35040,7590,7590,402014,6780,332262
17,AL,35042,2200,2200,103462,1880,81515
18,AL,35043,5070,5070,422071,4300,317647
19,AL,35044,3060,3060,128191,2610,96251
20,AL,35045,5500,5500,257571,4630,192997
21,AL,35046,2350,2350,125440,1890,90849
22,AL,35049,1550,1550,76185,1300,61363
23,AL,35051,3290,3290,208502,2750,142647
24,AL,35053,1050,1050,67089,740,41015
25,AL,35054,1820,1820,127737,1410,78989
26,AL,35055,7950,7950,415554,6610,297425
27,AL,35057,5290,5290,285110,4450,212561
28,AL,35058,4220,4220,215699,3500,158418
29,AL,35060,160,160,4445,130,3526
30,AL,35061,640,640,22427,550,17170
31,AL,35062,3220,3220,171707,2720,131341
32,AL,35063,1200,1200,52224,1020,40050
33,AL,35064,4300,4300,147677,3710,110856
34,AL,35068,3760,3760,180971,3210,147047
35,AL,35071,7480,7480,464235,6100,345666
36,AL,35072,1820,1820,72208,1580,57255
37,AL,35073,930,930,36588,760,27810
38,AL,35077,5210,5210,223225,4380,172400
39,AL,35078,870,870,43268,730,32829
40,AL,35079,3420,3420,185521,2960,145443
41,AL,35080,7840,7840,562560,6850,458108
42,AL,35083,1200,1200,54355,1030,43388
43,AL,35085,3400,3400,153921,2930,124434
44,AL,35087,840,840,33612,700,25658
45,AL,35089,750,750,24222,660,19884
46,AL,35091,1260,1260,86371,1140,73067
47,AL,35094,6290,6290,352220,5240,256438
48,AL,35096,3420,3420,171424,2930,134892
49,AL,35097,770,770,37608,640,29639
50,AL,35098,560,560,24644,450,19642
51,AL,35111,6970,6970,438293,5910,338664
52,AL,35112,180,180,5893,150,5132
53,AL,35114,3070,3070,198704,2640,161605
54,AL,35115,5200,5200,232431,4350,173542
55,AL,35116,2000,2000,123862,1650,90991
56,AL,35117,2680,2680,168588,2210,128244
57,AL,35118,1350,1350,61394,1100,45049
58,AL,35120,6110,6110,324451,5420,266963
59,AL,35121,5880,5880,306816,4760,208682
60,AL,35124,11730,11730,940188,9720,633974
61,AL,35125,4390,4390,199723,3760,150842
62,AL,35126,9500,9500,501447,8150,393464
63,AL,35127,4340,4340,222942,3720,173570
64,AL,35128,4270,4270,262744,3570,187000
65,AL,35130,1200,1200,54045,1000,39765
66,AL,35131,1480,1480,62565,1280,51523
67,AL,35133,1560,1560,78422,1290,57908
68,AL,35135,810,810,45183,670,34966
69,AL,35136,650,650,31357,520,21044
70,AL,35143,1240,1240,67377,970,45407
71,AL,35146,4520,4520,293899,3760,217178
72,AL,35147,2280,2280,163944,1980,124456
73,AL,35148,1060,1060,45598,870,32132
74,AL,35149,240,240,8442,210,7199
75,AL,35150,6940,6940,297473,6060,224838
76,AL,35151,2940,2940,143276,2500,112965
77,AL,35160,9680,9680,405145,8280,298137
78,AL,35171,1330,1330,72157,1170,56240
79,AL,35172,1120,1120,47755,940,37946
80,AL,35173,12710,12710,1060223,10610,773258
81,AL,35175,2060,2060,122506,1660,83390
82,AL,35176,330,330,14056,280,11275
83,AL,35178,1460,1460,67281,1220,48532
84,AL,35179,3730,3730,189961,3150,144047
85,AL,35180,5680,5680,314796,4820,245749
86,AL,35183,280,280,13040,230,9932
87,AL,35184,2080,2080,92146,1840,74163
88,AL,35186,2020,2020,147767,1680,98555
89,AL,35188,1170,1170,62818,1050,51312
90,AL,35203,1350,1350,138219,1140,73294
91,AL,35204,3590,3590,91630,3180,74045
92,AL,35205,7630,7630,445366,6800,294469
93,AL,35206,6530,6530,195322,5790,163065
94,AL,35207,3280,3280,83879,2860,68971
95,AL,35208,5790,5790,160292,5100,132099
96,AL,35209,11970,11970,1315379,10180,729711
97,AL,35210,6580,6580,380337,5420,269710
98,AL,35211,10610,10610,329763,9300,268086
99,AL,35212,4710,4710,167703,4270,136280
100,AL,35213,6830,6830,1561430,5130,679881
101,AL,35214,8260,8260,312350,7020,237482
102,AL,35215,19940,19940,669433,17880,563682
103,AL,35216,16150,16150,1445471,13500,922210
104,AL,35217,5030,5030,166809,4370,127951
105,AL,35218,2580,2580,64054,2330,55209
106,AL,35221,1790,1790,48603,1570,39642
107,AL,35222,3760,3760,326400,3220,225474
108,AL,35223,5480,5480,1885280,4050,688373
109,AL,35224,2150,2150,63449,1860,52897
110,AL,35226,16570,16570,1676160,13650,1164047
111,AL,35228,4220,4220,124333,3770,105051
112,AL,35233,880,880,62669,790,44462
113,AL,35234,1910,1910,46247,1730,40932
114,AL,35235,9230,9230,397481,8040,321040
115,AL,35242,25250,25250,3310806,20690,2079039
116,AL,35243,9880,9880,1317704,7830,759336
117,AL,35244,15940,15940,1515465,13450,1074919
118,AL,35401,9870,9870,338454,8810,234996
119,AL,35404,7910,7910,327754,6980,229912
120,AL,35405,18070,18070,867576,15940,659982
121,AL,35406,6670,6670,893646,5230,496198
122,AL,35441,460,460,19067,410,15468
123,AL,35442,1880,1880,69257,1670,50269
124,AL,35443,650,650,21101,580,16316
125,AL,35444,1510,1510,70501,1330,57129
126,AL,35446,840,840,40284,740,31346
127,AL,35447,1220,1220,49435,1040,37691
128,AL,35452,1570,1570,79634,1290,58755
129,AL,35453,4860,4860,226324,4210,175398
130,AL,35456,1810,1810,80948,1550,61589
131,AL,35458,220,220,10243,180,8014
132,AL,35459,320,320,11187,260,8154
133,AL,35460,240,240,7234,190,5924
134,AL,35461,700,700,31499,560,24134
135,AL,35462,1850,1850,62969,1570,45200
136,AL,35463,770,770,35578,650,27955
137,AL,35464,200,200,4832,160,3507
138,AL,35466,2240,2240,112931,1890,87618
139,AL,35469,130,130,4502,100,3546
140,AL,35470,1800,1800,74458,1540,55491
141,AL,35473,7110,7110,403896,5950,290798
142,AL,35474,2770,2770,136054,2460,110952
143,AL,35475,6850,6850,565639,5840,376982
144,AL,35476,3660,3660,157052,3200,109432
145,AL,35480,690,690,37148,600,30270
146,AL,35481,1280,1280,51831,1060,37739
147,AL,35490,1720,1720,90063,1580,76741
148,AL,35501,3670,3670,152568,3110,111771
149,AL,35503,3290,3290,159625,2790,118507
150,AL,35504,5050,5050,312914,4170,221226
151,AL,35540,920,920,40362,760,31278
152,AL,35541,1280,1280,77972,970,49580
153,AL,35542,440,430,17990,370,15215
154,AL,35543,380,380,13844,320,10932
155,AL,35544,230,230,9113,200,7236
156,AL,35546,1470,1470,65134,1240,52629
157,AL,35548,550,550,18308,460,15030
158,AL,35549,1350,1350,50178,1110,38173
159,AL,35550,1820,1820,82619,1530,63414
160,AL,35552,350,350,13467,280,10680
161,AL,35553,1660,1660,76332,1380,51476
162,AL,35554,410,410,18650,350,14672
163,AL,35555,3640,3640,160996,2990,117406
164,AL,35563,1560,1560,69832,1320,51050
165,AL,35564,780,780,28396,640,21973
166,AL,35565,4710,4710,195663,4040,145617
167,AL,35570,3900,3900,164783,3250,121614
168,AL,35571,330,330,14477,270,10765
169,AL,35572,380,380,17550,290,11057
170,AL,35574,560,560,24688,450,19365
171,AL,35575,370,370,15280,330,12802
172,AL,35576,1140,1140,52450,910,39094
173,AL,35578,1820,1820,73569,1570,58385
174,AL,35579,1170,1170,50228,980,39162
175,AL,35580,1430,1430,64916,1220,49719
176,AL,35581,1930,1930,74124,1640,58681
177,AL,35582,1680,1680,85224,1460,57939
178,AL,35584,160,160,5099,140,3661
179,AL,35585,610,610,25521,490,19770
180,AL,35586,1580,1580,66241,1330,51757
181,AL,35587,310,310,13753,250,9541
182,AL,35592,1620,1620,72047,1350,55691
183,AL,35593,670,670,27478,600,23027
184,AL,35594,2840,2840,137030,2420,103934
185,AL,35601,13580,13580,600460,11340,408374
186,AL,35603,13950,13950,902917,11410,607664
187,AL,35610,750,750,32956,600,25524
188,AL,35611,10180,10180,477358,8410,340241
189,AL,35613,9040,9040,696180,7440,495251
190,AL,35614,2990,2990,137876,2480,101842
191,AL,35616,1460,1460,64135,1180,47446
192,AL,35618,750,750,28898,640,20986
193,AL,35619,2020,2020,94026,1680,72401
194,AL,35620,3750,3750,184537,3170,143616
195,AL,35621,1150,1150,55231,990,44962
196,AL,35622,2610,2610,119577,2220,93338
197,AL,35630,12520,12520,562415,10180,351244
198,AL,35633,8570,8570,448915,6860,316436
199,AL,35634,4500,4500,363826,3490,196338
200,AL,35640,10680,10680,593404,8920,447092
201,AL,35643,1300,1300,52212,1080,38578
202,AL,35645,5710,5710,376883,4560,256816
203,AL,35646,1820,1820,83070,1520,60256
204,AL,35647,430,430,21418,350,15689
205,AL,35648,1550,1550,76998,1230,60406
206,AL,35650,5480,5480,255886,4490,192515
207,AL,35651,430,430,18778,340,14813
208,AL,35652,3370,3370,181596,2630,130135
209,AL,35653,4570,4570,197530,3910,144714
210,AL,35654,3050,3050,124007,2560,96174
211,AL,35660,3790,3790,149365,3130,104061
212,AL,35661,7680,7680,464143,6230,314300
213,AL,35670,3170,3170,158498,2570,117136
214,AL,35671,910,910,45328,770,33373
215,AL,35672,2430,2430,114185,2010,88979
216,AL,35673,3420,3420,174867,2880,138411
217,AL,35674,7840,7840,457070,6440,289920
218,AL,35677,720,720,31174,570,23278
219,AL,35739,2120,2120,107876,1780,80457
220,AL,35740,1340,1340,56179,1100,43374
221,AL,35741,1460,1460,168016,1120,112172
222,AL,35744,930,930,36755,790,28273
223,AL,35746,350,350,13820,310,11358
224,AL,35747,2430,2430,130959,1980,92045
225,AL,35748,3130,3130,259237,2590,179634
226,AL,35749,11230,11230,751022,9810,599727
227,AL,35750,5890,5890,301608,5030,238488
228,AL,35752,820,820,36598,710,27283
229,AL,35754,2190,2190,115622,1770,82121
230,AL,35755,270,270,14275,220,8653
231,AL,35756,7500,7500,628241,6780,510723
232,AL,35757,7350,7350,546100,6320,426430
233,AL,35758,21200,21200,1860735,18320,1391504
234,AL,35759,4060,4060,266955,3400,205335
235,AL,35760,2090,2090,100476,1750,76419
236,AL,35761,5100,5100,314964,4370,242521
237,AL,35763,8070,8070,860134,6670,613554
238,AL,35764,230,230,8060,190,6605
239,AL,35765,1440,1440,59629,1200,48875
240,AL,35768,4710,4710,213940,3930,153453
241,AL,35769,4190,4190,294823,3350,171575
242,AL,35771,1380,1380,58240,1150,44730
243,AL,35772,1850,1850,76927,1600,61540
244,AL,35773,5500,5500,289749,4700,224881
245,AL,35775,300,300,11117,240,8801
246,AL,35776,1380,1380,59483,1140,45328
247,AL,35801,10110,10110,1187912,7580,655203
248,AL,35802,11070,11070,1029760,8120,593856
249,AL,35803,13260,13260,996668,10420,680878
250,AL,35805,8320,8320,216090,7290,176015
251,AL,35806,11180,11180,797256,9680,597207
252,AL,35808,430,430,38386,390,30454
253,AL,35810,13510,13510,457653,11570,341411
254,AL,35811,12530,12530,751679,10490,554986
255,AL,35816,5640,5640,152557,5030,119877
256,AL,35824,4180,4180,329837,3800,260220
257,AL,35901,7340,7340,418881,5990,265601
258,AL,35903,7130,7130,277478,6010,212153
259,AL,35904,5210,5210,194475,4300,145958
260,AL,35905,2670,2670,131054,2150,99215
261,AL,35906,4470,4470,236626,3550,164391
262,AL,35907,3770,3770,241189,3060,170886
263,AL,35950,8660,8660,346379,7470,264941
264,AL,35951,4970,4970,197941,4290,149560
265,AL,35952,2660,2660,110527,2220,86096
266,AL,35953,2920,2920,142809,2420,107839
267,AL,35954,4710,4710,178267,3970,137086
268,AL,35956,3370,3370,149788,2800,117283
269,AL,35957,6330,6330,259144,5360,198808
270,AL,35958,1160,1160,50743,980,40313
271,AL,35959,1770,1770,79138,1400,54964
272,AL,35960,3700,3700,176649,2890,122376
273,AL,35961,2260,2260,83009,1950,68230
274,AL,35962,2620,2620,103803,2270,79551
275,AL,35963,620,620,24074,540,19093
276,AL,35966,1330,1330,55905,1130,46206
277,AL,35967,6060,6060,266297,5140,194835
278,AL,35968,2210,2210,108903,1790,72954
279,AL,35971,1740,1740,71309,1480,57362
280,AL,35972,490,490,22307,380,16036
281,AL,35973,1040,1040,41181,870,32262
282,AL,35974,730,730,29150,610,22755
283,AL,35975,380,380,16410,310,12643
284,AL,35976,6970,6970,445477,5420,276664
285,AL,35978,2000,2000,87537,1680,63033
286,AL,35979,550,550,20156,450,16715
287,AL,35980,1800,1800,68282,1500,52917
288,AL,35981,780,780,32607,670,26124
289,AL,35983,1420,1420,64909,1140,46367
290,AL,35984,820,820,42295,560,22015
291,AL,35986,3150,3150,143382,2690,110577
292,AL,35987,950,950,41822,740,30442
293,AL,35988,690,690,27879,610,21237
294,AL,35989,1240,1240,56607,1030,43369
295,AL,36003,750,750,33560,670,24627
296,AL,36005,660,660,28829,540,21826
297,AL,36006,560,560,24941,470,19835
298,AL,36009,1050,1050,49208,900,38181
299,AL,36010,2110,2110,77158,1810,60349
300,AL,36013,210,210,21344,180,11649
301,AL,36016,1200,1200,45164,990,31597
302,AL,36017,530,530,17821,430,12916
303,AL,36020,530,530,22671,450,16332
304,AL,36022,5740,5740,364282,4920,269470
305,AL,36024,2600,2600,149261,2100,97457
306,AL,36025,1650,1650,78653,1390,58528
307,AL,36026,430,430,29055,310,16661
308,AL,36027,5950,5950,251057,4990,178775
309,AL,36028,700,700,29317,570,21132
310,AL,36029,380,380,21820,310,15031
311,AL,36030,200,200,7043,170,5285
312,AL,36032,1060,1060,36647,960,29925
313,AL,36033,1530,1530,58716,1310,45111
314,AL,36034,310,310,12804,280,10093
315,AL,36035,790,790,38233,640,28950
316,AL,36036,790,790,31876,670,25633
317,AL,36037,5420,5420,219468,4760,166112
318,AL,36039,120,120,3549,100,2417
319,AL,36040,1560,1560,46728,1360,38246
320,AL,36041,560,560,23058,470,18780
321,AL,36042,560,560,24125,440,18045
322,AL,36043,1630,1630,88661,1360,61127
323,AL,36046,560,560,26139,470,19371
324,AL,36047,570,570,22443,490,16078
325,AL,36048,540,540,17776,440,13225
326,AL,36049,2210,2210,100598,1870,74359
327,AL,36051,950,950,41327,800,32784
328,AL,36052,390,390,33124,310,21539
329,AL,36053,760,760,24196,670,19886
330,AL,36054,6530,6530,340087,5670,255233
331,AL,36064,4820,4820,480859,4170,320718
332,AL,36066,8820,8820,538082,7420,392022
333,AL,36067,11050,11050,593265,9500,437612
334,AL,36069,780,780,37821,620,26084
335,AL,36071,330,330,11668,280,9453
336,AL,36075,870,870,35042,750,26931
337,AL,36078,5500,5500,274669,4660,195264
338,AL,36079,3630,3630,179492,3170,136195
339,AL,36080,1040,1040,63762,810,40963
340,AL,36081,5740,5740,276264,5000,185832
341,AL,36083,3360,3360,109754,2770,79575
342,AL,36088,1010,1010,28945,860,20965
343,AL,36089,2950,2950,95971,2570,73509
344,AL,36091,1440,1440,66890,1210,49221
345,AL,36092,8710,8710,425136,7300,308270
346,AL,36093,5030,5030,385264,4080,261689
347,AL,36104,2640,2640,109777,2340,73525
348,AL,36105,4280,4280,143342,3700,111439
349,AL,36106,6530,6530,507935,5320,285326
350,AL,36107,3020,3020,91337,2670,72724
351,AL,36108,7560,7560,213394,6520,162589
352,AL,36109,11040,11040,558730,8810,364960
353,AL,36110,4680,4680,122665,4110,100514
354,AL,36111,5700,5700,424801,4780,233696
355,AL,36112,40,40,3023,40,2985
356,AL,36113,290,290,17079,290,16698
357,AL,36115,250,250,11183,240,10726
358,AL,36116,18280,18280,763283,16360,596224
359,AL,36117,22350,22350,1656832,18800,1076249
360,AL,36201,6470,6470,197900,5630,157434
361,AL,36203,8380,8380,427924,7010,318009
362,AL,36205,280,280,14661,220,8519
363,AL,36206,4560,4560,182157,3760,133573
364,AL,36207,8280,8280,504837,6660,322548
365,AL,36250,2020,2020,109043,1680,78198
366,AL,36251,2080,2080,89070,1780,69320
367,AL,36255,380,380,33507,320,14181
368,AL,36256,610,610,26186,530,21205
369,AL,36258,620,620,28413,490,20302
370,AL,36260,1600,1600,67851,1340,54601
371,AL,36262,520,520,21568,440,16829
372,AL,36263,250,250,12735,210,9873
373,AL,36264,3400,3400,161328,2910,126349
374,AL,36265,7660,7660,367171,6300,255289
375,AL,36266,2210,2210,98545,1870,69919
376,AL,36268,2210,2210,106148,1910,75990
377,AL,36269,460,460,19481,380,15039
378,AL,36271,2380,2380,114934,1940,84259
379,AL,36272,4680,4680,192489,3840,144311
380,AL,36273,1030,1030,50817,840,40818
381,AL,36274,4290,4290,162253,3750,132340
382,AL,36276,870,870,34853,730,27262
383,AL,36277,2330,2330,101753,1920,76828
384,AL,36278,1860,1860,101325,1410,64475
385,AL,36279,1040,1040,45535,850,36159
386,AL,36280,1420,1420,63376,1150,49437
387,AL,36301,15220,15220,689880,12930,507944
388,AL,36303,12710,12710,751655,10680,480366
389,AL,36305,6770,6770,555564,5570,376906
390,AL,36310,2380,2380,105923,1890,70383
391,AL,36311,1040,1040,48333,870,36693
392,AL,36312,2370,2370,113872,1980,88106
393,AL,36314,220,220,9818,170,7385
394,AL,36316,740,740,38570,590,27844
395,AL,36317,160,160,6017,130,5014
396,AL,36318,490,490,24260,390,17823
397,AL,36319,870,870,46069,710,32707
398,AL,36320,1310,1310,52686,1110,40774
399,AL,36321,750,750,31520,660,24674
400,AL,36322,3380,3380,146222,2800,107056
401,AL,36323,2850,2850,160386,2350,89945
402,AL,36330,14900,14900,878630,12620,613734
403,AL,36340,2000,2000,85541,1640,60803
404,AL,36343,590,590,22269,490,15791
405,AL,36344,2080,2080,89547,1660,63994
406,AL,36345,3510,3510,189917,2960,143144
407,AL,36346,570,570,26677,480,20885
408,AL,36350,2970,2970,144310,2580,111418
409,AL,36351,1430,1430,75256,1170,54846
410,AL,36352,2130,2130,122455,1760,86973
411,AL,36353,820,820,37015,670,27222
412,AL,36360,7700,7700,350898,6250,249723
413,AL,36362,1500,1500,73568,1460,70069
414,AL,36370,380,380,16752,310,13075
415,AL,36371,220,220,10773,190,7638
416,AL,36373,210,210,6821,180,5380
417,AL,36374,470,470,23029,370,16211
418,AL,36375,2770,2770,118236,2290,89411
419,AL,36376,890,890,34527,780,27884
420,AL,36401,2850,2850,108830,2380,78720
421,AL,36420,4400,4400,218899,3640,151132
422,AL,36421,3510,3510,200225,2920,137879
423,AL,36425,340,340,10871,280,8399
424,AL,36426,5640,5640,251957,4650,184049
425,AL,36432,910,910,33006,760,26191
426,AL,36435,200,200,5232,160,4266
427,AL,36436,190,190,7851,160,6795
428,AL,36439,290,290,13629,230,10423
429,AL,36441,1460,1460,66673,1200,49497
430,AL,36442,1100,1100,41640,880,31215
431,AL,36444,210,210,7940,180,6669
432,AL,36445,1510,1510,63145,1220,47487
433,AL,36446,220,220,11013,200,8052
434,AL,36451,1900,1900,106633,1600,71437
435,AL,36453,870,870,41399,710,30355
436,AL,36455,130,130,4695,120,3596
437,AL,36456,720,720,28590,610,22344
438,AL,36460,3330,3330,168412,2780,116649
439,AL,36467,3740,3740,169302,3060,117709
440,AL,36471,390,390,13305,320,10922
441,AL,36474,1090,1090,49112,920,38413
442,AL,36475,740,740,30399,610,24006
443,AL,36477,1610,1610,74199,1330,51409
444,AL,36480,700,700,34726,540,23769
445,AL,36481,110,110,2572,90,2169
446,AL,36482,380,380,11956,330,9861
447,AL,36483,180,180,7302,140,5103
448,AL,36502,6080,6080,250877,5080,179528
449,AL,36505,610,610,31087,510,26030
450,AL,36507,7900,7900,384132,6700,285179
451,AL,36509,830,830,26479,660,18229
452,AL,36511,380,380,14271,310,10240
453,AL,36513,280,280,10914,230,8397
454,AL,36518,1030,1030,62811,860,45786
455,AL,36521,1940,1940,100263,1610,81589
456,AL,36522,2790,2790,124890,2360,102485
457,AL,36523,1030,1030,49374,800,30586
458,AL,36524,420,420,17321,320,13210
459,AL,36525,820,820,41332,680,33048
460,AL,36526,14950,14950,1091883,12480,773576
461,AL,36527,6640,6640,600655,5540,429827
462,AL,36528,770,770,51496,550,29138
463,AL,36529,220,220,10998,180,8939
464,AL,36530,3270,3270,192484,2520,101308
465,AL,36532,14010,14010,1204322,10250,691277
466,AL,36535,12760,12760,558774,9780,347541
467,AL,36538,140,140,5634,120,4337
468,AL,36539,270,270,14373,230,11127
469,AL,36540,380,380,11952,340,10245
470,AL,36541,5750,5750,287042,4840,221793
471,AL,36542,6290,6290,378401,4650,200519
472,AL,36544,4480,4480,183804,3900,147294
473,AL,36545,3610,3610,180692,2950,126278
474,AL,36548,460,460,26501,390,19986
475,AL,36549,2270,2270,116466,1330,54445
476,AL,36551,3880,3880,195595,3340,149395
477,AL,36553,1240,1240,54382,1050,44221
478,AL,36555,620,620,47113,430,23577
479,AL,36556,120,120,5420,100,4392
480,AL,36558,1300,1300,70597,1070,54546
481,AL,36559,410,410,53149,270,23714
482,AL,36560,1300,1300,45106,1060,36056
483,AL,36561,3950,3950,334794,2810,165182
484,AL,36562,690,690,30495,600,25086
485,AL,36564,490,490,83171,280,24834
486,AL,36567,5790,5790,259705,4860,194763
487,AL,36568,190,190,6831,160,5421
488,AL,36569,330,330,16464,270,12834
489,AL,36571,6850,6850,398530,5780,309244
490,AL,36572,2900,2900,171019,2450,134598
491,AL,36574,560,560,28575,420,18825
492,AL,36575,8490,8490,427721,7290,343269
493,AL,36576,1980,1980,95355,1610,70688
494,AL,36578,820,820,48964,710,38130
495,AL,36579,710,710,37633,580,26444
496,AL,36580,2510,2510,109959,2020,75976
497,AL,36582,9990,9990,490816,8460,359232
498,AL,36583,260,260,15840,200,12350
499,AL,36584,240,240,11842,210,9956
500,AL,36585,390,390,19635,320,15113
501,AL,36587,4090,4090,196610,3450,149123
502,AL,36590,280,280,13983,220,9713
503,AL,36602,450,450,34591,360,17963
504,AL,36603,2500,2500,65666,2180,51464
505,AL,36604,3890,3890,212028,3330,156110
506,AL,36605,10890,10890,353467,9250,259958
507,AL,36606,8030,8030,333126,6950,249682
508,AL,36607,2670,2670,154283,2270,95308
509,AL,36608,15160,15160,1209567,12550,723116
510,AL,36609,10300,10300,481494,8700,352770
511,AL,36610,4110,4110,89396,3550,71984
512,AL,36611,2380,2380,75490,2060,60038
513,AL,36612,1620,1620,37963,1360,30165
514,AL,36613,4770,4770,173123,4070,135688
515,AL,36616,250,250,27130,190,10846
516,AL,36617,5150,5150,146240,4280,102551
517,AL,36618,7610,7610,298861,6530,240357
518,AL,36619,6370,6370,361983,5210,260494
519,AL,36693,8530,8530,524147,6860,338061
520,AL,36695,21090,21090,1408908,17790,1047044
521,AL,36701,8640,8640,350502,7440,258464
522,AL,36703,4330,4330,132681,3860,108079
523,AL,36720,310,310,7511,290,6608
524,AL,36722,150,150,4836,120,4013
525,AL,36726,1770,1770,75602,1470,49537
526,AL,36728,230,230,8672,190,5080
527,AL,36732,3510,3510,173932,3020,124893
528,AL,36736,490,490,18195,440,15911
529,AL,36738,370,370,13214,310,10215
530,AL,36740,460,460,15641,410,12416
531,AL,36742,940,940,48278,780,35923
532,AL,36744,2550,2550,94636,2230,70174
533,AL,36748,1270,1270,57414,1040,42639
534,AL,36749,390,390,14720,350,12997
535,AL,36750,1140,1140,53790,960,42667
536,AL,36751,350,350,9350,300,8035
537,AL,36752,710,710,37449,580,24868
538,AL,36756,2010,2010,71657,1700,53585
539,AL,36758,520,520,22392,440,17884
540,AL,36759,650,650,21346,560,16679
541,AL,36761,400,400,14420,340,11165
542,AL,36765,480,480,15823,420,12118
543,AL,36767,690,690,19764,600,16499
544,AL,36768,300,300,10688,250,7377
545,AL,36769,1110,1110,37084,980,30630
546,AL,36773,140,140,4585,120,2979
547,AL,36775,310,310,13033,260,8702
548,AL,36776,600,600,17432,520,15103
549,AL,36782,850,850,38249,710,28181
550,AL,36783,320,320,14192,250,10064
551,AL,36784,3080,3080,150958,2590,110586
552,AL,36785,480,480,18630,410,12823
553,AL,36786,1200,1200,29833,1070,26010
554,AL,36790,100,100,4948,80,3864
555,AL,36792,460,460,21436,390,16238
556,AL,36793,210,210,9360,170,7049
557,AL,36801,9660,9660,505635,8240,337085
558,AL,36804,8170,8170,388755,7130,288412
559,AL,36830,16300,16300,1333325,13750,877954
560,AL,36832,8340,8340,371900,7700,294470
561,AL,36850,1070,1070,35420,900,27214
562,AL,36852,970,970,37085,900,32818
563,AL,36853,3510,3510,214365,2650,128628
564,AL,36854,6650,6650,270171,5910,226026
565,AL,36855,540,540,22731,450,16822
566,AL,36856,2770,2770,127164,2490,108004
567,AL,36858,190,190,7070,150,5887
568,AL,36860,610,610,19657,540,15652
569,AL,36861,1360,1360,81580,1060,49816
570,AL,36862,2380,2380,89718,2050,69706
571,AL,36863,4850,4850,183707,4250,146235
572,AL,36865,120,120,4488,100,2745
573,AL,36866,1540,1540,64641,1290,50851
574,AL,36867,8550,8550,379937,7280,285600
575,AL,36869,7880,7880,267868,6970,223529
576,AL,36870,7480,7480,341213,6670,287540
577,AL,36871,420,420,18831,380,14477
578,AL,36874,3570,3570,189525,3050,148201
579,AL,36875,1860,1860,84636,1580,62353
580,AL,36877,4960,4960,258968,4250,200016
581,AL,36879,1010,1010,79660,840,55492
582,AL,36901,130,130,3510,120,2984
583,AL,36904,1530,1530,80608,1200,55820
584,AL,36907,610,610,21372,540,16831
585,AL,36908,870,870,47417,720,36504
586,AL,36912,710,710,23313,570,18398
587,AL,36915,210,210,10073,180,8469
588,AL,36916,230,230,9846,190,8057
589,AL,36919,730,730,31578,620,25730
590,AL,36921,400,400,21324,340,17536
591,AL,36922,220,220,7378,190,5772
592,AL,36925,1190,1190,32651,1030,26610
595,AK,99501,7890,7890,588977,6630,369642
596,AK,99502,11740,11740,951979,10230,667954
597,AK,99503,7780,7780,462759,6740,325481
598,AK,99504,19180,19180,1099939,16780,837032
599,AK,99505,2480,2480,96924,2470,93101
600,AK,99506,2930,2930,118636,2910,113235
601,AK,99507,18630,18630,1494393,16310,1097412
602,AK,99508,15400,15400,856606,13430,610323
603,AK,99510,250,250,22729,170,11342
604,AK,99515,10960,10960,1037077,9390,700041
605,AK,99516,9600,9600,1404842,7950,920445
606,AK,99517,8140,8140,646776,6920,434881
607,AK,99518,5180,5180,343455,4520,252029
608,AK,99519,460,460,46674,370,31546
609,AK,99540,160,160,10692,110,7126
610,AK,99551,220,220,5042,190,4076
611,AK,99552,160,160,2749,150,2381
612,AK,99553,200,200,9021,200,8554
613,AK,99554,260,260,4406,230,3647
614,AK,99556,1080,1080,59751,780,34569
615,AK,99557,270,270,9553,240,8256
616,AK,99559,2860,2860,167837,2560,136595
617,AK,99561,170,170,2913,160,2660
618,AK,99563,390,390,6743,350,5776
619,AK,99567,4170,4170,334269,3470,243155
620,AK,99568,130,130,7827,90,3922
621,AK,99572,200,200,14460,170,6722
622,AK,99573,400,400,20362,280,12248
623,AK,99574,1350,1350,77010,1090,45161
624,AK,99576,1360,1360,83659,1150,60197
625,AK,99577,12780,12780,1135936,11060,841645
626,AK,99578,160,160,4233,130,3575
627,AK,99581,370,370,8873,350,8022
628,AK,99585,130,130,2729,120,1981
629,AK,99586,210,210,8895,140,5309
630,AK,99587,1310,1310,99096,1140,67908
631,AK,99588,650,650,39728,530,26380
632,AK,99589,110,110,2369,90,2016
633,AK,99590,110,110,1501,90,1134
634,AK,99603,5380,5380,364900,3970,184930
