,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,city,address,lat,long,categories,name
16897,NE,68924,590.0,590.0,34614.0,490.0,22244.0,,,,,,
16898,NE,68925,210.0,210.0,13519.0,170.0,7533.0,,,,,,
16899,NE,68926,290.0,290.0,13519.0,240.0,8792.0,,,,,,
16900,NE,68927,510.0,510.0,31017.0,430.0,19137.0,,,,,,
16901,NE,68928,190.0,190.0,9289.0,140.0,5589.0,,,,,,
16902,NE,68930,570.0,570.0,27702.0,470.0,19221.0,,,,,,
16903,NE,68932,180.0,180.0,8251.0,130.0,5200.0,,,,,,
16904,NE,68933,440.0,440.0,25343.0,370.0,16973.0,,,,,,
16905,NE,68935,300.0,300.0,16359.0,230.0,8729.0,,,,,,
16906,NE,68937,830.0,830.0,53758.0,650.0,31406.0,,,,,,
16907,NE,68938,270.0,270.0,14123.0,240.0,7985.0,,,,,,
16908,NE,68939,530.0,530.0,25390.0,440.0,16944.0,,,,,,
16909,NE,68940,200.0,200.0,11724.0,150.0,6410.0,,,,,,
16910,NE,68941,340.0,340.0,19315.0,290.0,13133.0,,,,,,
16911,NE,68942,180.0,180.0,7250.0,140.0,4752.0,,,,,,
16912,NE,68943,110.0,110.0,5528.0,70.0,2335.0,,,,,,
16913,NE,68944,520.0,520.0,24836.0,460.0,17133.0,,,,,,
16914,NE,68945,100.0,100.0,7406.0,90.0,4005.0,,,,,,
16915,NE,68947,250.0,250.0,14597.0,200.0,8422.0,,,,,,
16916,NE,68948,130.0,130.0,5628.0,110.0,3552.0,,,,,,
16917,NE,68949,3120.0,3120.0,205549.0,2600.0,117139.0,,,,,,
16918,NE,68950,150.0,150.0,9609.0,140.0,5018.0,,,,,,
16919,NE,68955,1000.0,1000.0,69088.0,880.0,48551.0,,,,,,
16920,NE,68956,560.0,560.0,33389.0,470.0,20854.0,,,,,,
16921,NE,68957,270.0,270.0,14443.0,220.0,9299.0,,,,,,
16922,NE,68958,290.0,290.0,16984.0,240.0,9407.0,,,,,,
16923,NE,68959,1830.0,1830.0,114471.0,1520.0,66917.0,,,,,,
16924,NE,68961,350.0,350.0,15872.0,280.0,10248.0,,,,,,
16925,NE,68966,320.0,320.0,13257.0,270.0,9177.0,,,,,,
16926,NE,68967,480.0,480.0,26089.0,380.0,15182.0,,,,,,
16927,NE,68970,570.0,570.0,25524.0,440.0,15280.0,,,,,,
16928,NE,68971,180.0,180.0,9197.0,120.0,4929.0,,,,,,
16929,NE,68973,200.0,200.0,12369.0,180.0,7236.0,,,,,,
16930,NE,68977,130.0,130.0,4740.0,100.0,3212.0,,,,,,
16931,NE,68978,1000.0,1000.0,49991.0,800.0,30901.0,,,,,,
16932,NE,68979,820.0,820.0,56217.0,640.0,28261.0,,,,,,
16933,NE,68980,190.0,190.0,12791.0,180.0,7408.0,,,,,,
16934,NE,68981,140.0,140.0,9951.0,100.0,3486.0,,,,,,
16935,NE,68982,330.0,330.0,18676.0,250.0,10300.0,,,,,,
16936,NE,69001,4110.0,4110.0,231461.0,3430.0,150115.0,,,,,,
16937,NE,69020,180.0,180.0,9740.0,150.0,6371.0,,,,,,
16938,NE,69021,520.0,520.0,31613.0,420.0,16212.0,,,,,,
16939,NE,69022,700.0,700.0,37756.0,540.0,24527.0,,,,,,
16940,NE,69023,170.0,170.0,8432.0,130.0,5208.0,,,,,,
16941,NE,69024,510.0,510.0,24092.0,410.0,16065.0,,,,,,
16942,NE,69025,410.0,410.0,19151.0,330.0,13830.0,,,,,,
16943,NE,69028,350.0,350.0,21232.0,270.0,12223.0,,,,,,
16944,NE,69029,150.0,150.0,7285.0,120.0,4247.0,,,,,,
16945,NE,69030,120.0,120.0,5641.0,90.0,3005.0,,,,,,
16946,NE,69032,170.0,170.0,8697.0,120.0,5535.0,,,,,,
16947,NE,69033,1160.0,1160.0,75385.0,960.0,44276.0,,,,,,
16948,NE,69034,410.0,410.0,20090.0,320.0,13618.0,,,,,,
16949,NE,69038,200.0,190.0,8853.0,150.0,6693.0,,,,,,
16950,NE,69040,210.0,210.0,10957.0,190.0,6687.0,,,,,,
16951,NE,69043,200.0,200.0,8738.0,140.0,4984.0,,,,,,
16952,NE,69044,320.0,320.0,13838.0,250.0,9218.0,,,,,,
16953,NE,69045,390.0,390.0,18485.0,300.0,11386.0,,,,,,
16954,NE,69101,13220.0,13220.0,757076.0,11170.0,537858.0,,,,,,
16955,NE,69120,400.0,400.0,23083.0,320.0,13733.0,,,,,,
16956,NE,69121,140.0,140.0,5897.0,100.0,3490.0,,,,,,
16957,NE,69122,260.0,260.0,13280.0,240.0,9089.0,,,,,,
16958,NE,69123,400.0,400.0,24234.0,320.0,16066.0,,,,,,
16959,NE,69125,130.0,130.0,5692.0,110.0,4010.0,,,,,,
16960,NE,69127,330.0,330.0,17867.0,250.0,9073.0,,,,,,
16961,NE,69128,110.0,110.0,4308.0,110.0,3215.0,,,,,,
16962,NE,69129,560.0,560.0,28014.0,460.0,18622.0,,,,,,
16963,NE,69130,2340.0,2340.0,126877.0,2050.0,84493.0,,,,,,
16964,NE,69131,270.0,270.0,12960.0,210.0,8756.0,,,,,,
16965,NE,69133,150.0,150.0,7277.0,130.0,4392.0,,,,,,
16966,NE,69134,150.0,150.0,8174.0,110.0,4219.0,,,,,,
16967,NE,69138,2030.0,2030.0,119960.0,1680.0,75574.0,,,,,,
16968,NE,69140,750.0,750.0,45029.0,600.0,27649.0,,,,,,
16969,NE,69141,150.0,150.0,8996.0,130.0,6023.0,,,,,,
16970,NE,69143,710.0,710.0,41543.0,580.0,28900.0,,,,,,
16971,NE,69144,100.0,100.0,4452.0,80.0,2141.0,,,,,,
16972,NE,69145,1270.0,1270.0,65200.0,1060.0,43235.0,,,,,,
