,STATE,ZIP Code,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,Brewery,Address,City,State
29501,VT,5871,730.0,730.0,32368.0,600.0,22514.0,next trick brewing llc,2370 us route 5,West Burke,VT
29502,VT,5872,370.0,370.0,13883.0,300.0,10052.0,,,,
29503,VT,5873,360.0,360.0,17290.0,250.0,11495.0,,,,
29504,VT,5874,310.0,310.0,12510.0,250.0,9626.0,,,,
29505,VT,5875,270.0,270.0,12345.0,210.0,7685.0,,,,
29506,VT,5903,380.0,380.0,17344.0,290.0,11481.0,,,,
29507,VT,5904,120.0,120.0,3411.0,110.0,2979.0,,,,
29508,VT,5905,330.0,330.0,14123.0,240.0,9336.0,,,,
29509,VT,5906,510.0,510.0,19849.0,430.0,15292.0,,,,
29510,VA,20105,10660.0,10660.0,1395979.0,9900.0,1184286.0,quattro goombas brewery,22860 james monroe hwy,Aldie,VA
29511,VA,20106,2340.0,2340.0,182755.0,1880.0,126874.0,,,,
29512,VA,20109,19200.0,19200.0,929450.0,17120.0,788336.0,2 silos brewing company,attn forrest 9925 discovery blvd,Manassas,VA
29513,VA,20110,22180.0,22180.0,1373393.0,19280.0,1088811.0,badwolf brewing company,8420 kao cir,Manassas,VA
29514,VA,20110,22180.0,22180.0,1373393.0,19280.0,1088811.0,heritage brewing co,9436 center point ln,Manassas,VA
29515,VA,20110,22180.0,22180.0,1373393.0,19280.0,1088811.0,public house kitchen and brewery,9406 battle st,Manassas,VA
29516,VA,20110,22180.0,22180.0,1373393.0,19280.0,1088811.0,sinistral brewing company,9419 main st,Manassas,VA
29517,VA,20111,17260.0,17260.0,1101166.0,15150.0,891621.0,eavesdrop brewery,7223 centreville rd ste 115,Manassas,VA
29518,VA,20112,12800.0,12800.0,1329743.0,11190.0,1018152.0,,,,
29519,VA,20115,2690.0,2690.0,282100.0,2240.0,168429.0,,,,
29520,VA,20117,800.0,800.0,159628.0,600.0,81206.0,,,,
29521,VA,20118,900.0,900.0,200572.0,610.0,56985.0,,,,
29522,VA,20119,1920.0,1920.0,142830.0,1590.0,101307.0,,,,
29523,VA,20120,19900.0,19900.0,1924366.0,17830.0,1525044.0,,,,
29524,VA,20121,13900.0,13900.0,998596.0,12530.0,840555.0,"great american restaurants, sweetwater tavern",14250 sweetwater ln,Centreville,VA
29525,VA,20124,6990.0,6990.0,1212846.0,5930.0,761844.0,,,,
29526,VA,20129,290.0,290.0,55928.0,240.0,30892.0,,,,
29527,VA,20130,140.0,140.0,11883.0,110.0,8270.0,,,,
29528,VA,20132,7090.0,7090.0,922315.0,6260.0,685302.0,adroit theory brewing company,404 browning ct unit c,Purcellville,VA
29529,VA,20132,7090.0,7090.0,922315.0,6260.0,685302.0,belly love brewing company,725 e main st,Purcellville,VA
29530,VA,20132,7090.0,7090.0,922315.0,6260.0,685302.0,dragon hops brewing,130 e main st,Purcellville,VA
29531,VA,20132,7090.0,7090.0,922315.0,6260.0,685302.0,harper's ferry brewing,37412 adventure center lane,Purcellville,VA
29532,VA,20132,7090.0,7090.0,922315.0,6260.0,685302.0,hillsborough vineyards & brewery,36716 charles town pike,Hillsboro,VA
