,Brewery,Address,City,State,ZIP Code
2391,350 brewing co,7144 183rd st,Tinley Park,IL,60477.0
2392,4204 main street brewing co,4204 w main st,Belleville,IL,62226.0
2395,5 rabbit cerveceria inc,6398 w 74th st,Chicago,IL,60638.0
2396,51st ward beer company,323 n washington st,Westmont,IL,60559.0
2397,5770 brewery,303a w main st,Teutopolis,IL,62467.0
2399,adams street brewery,17 w adams st,Chicago,IL,60603.0
2400,afterthought brewing company,844 n ridge ave,Lombard,IL,60148.0
2401,alarmist brewing co,4055 w peterson ave ste rear,Chicago,IL,60646.0
2402,aleman brewing,3304 n knox ave,Chicago,IL,60641.0
2403,all rise brewing co,235 n ashland ave,Chicago,IL,60607.0
2404,alter brewing company,2300 wisconsin ave ste 213,Downers Grove,IL,60515.0
2405,alulu brew pub,2011 s laflin st,Chicago,IL,60608.0
2406,anvil and forge brewery and distillery,619 e washington st suite a,Springfield,IL,62701.0
2407,argus brewery,11314 s front ave,Chicago,IL,60628.0
2408,arrowhead ales brewing company,2101 calistoga dr,New Lenox,IL,60451.0
2410,band of bohemia,4710 n ravenswood ave,Chicago,IL,60640.0
2411,bbgb brewery and hop farm,2000 orchard rd,North Aurora,IL,60542.0
2412,bearded owl brewing,112 state st ste 1a,Peoria,IL,61602.0
2413,begyle brewing,1800 w cuyler ave ste 1e,Chicago,IL,60613.0
2415,bent river brewing co,1413 5th ave,Moline,IL,61265.0
2416,bent river brewing co production & tasting room,512 24th st,Rock Island,IL,61201.0
2417,big muddy brewing co,1430 n 7th st,Murphysboro,IL,62966.0
2418,big thorn farm and brewery,14274 e 600 north rd,Georgetown,IL,61846.0
2419,birreria @ eataly,43 e ohio st,Chicago,IL,60611.0
2420,bixi beer,2515 n milwaukee ave,Chicago,IL,60647.0
2421,black & gray brewing co.,311 barrington ave unit b,East Dundee,IL,60118.0
2422,black horizon brewing company,7560 s quincy st,Willowbrook,IL,60527.0
2423,blind pig brewery,120 n neil st,Champaign,IL,61820.0
2424,blue island beer co,13357 olde western ave,Blue Island,IL,60406.0
2425,blue nose brewery,6119 east ave,Hodgkins,IL,60525.0
2426,bold dog beer company,4727 w montrose ave ste 3,Chicago,IL,60641.0
2427,bosacki's home brew,610 e hawley st,Mundelein,IL,60060.0
2433,brickstone brewery,572 brewery ln,Bourbonnais,IL,60914.0
2434,brickstone brewery brewpub,557 william latham dr,Bourbonnais,IL,60914.0
2435,buckledown brewing,8700 47th st,Lyons,IL,60534.0
2436,buffalo creek brewing,360 historical ln,Long Grove,IL,60047.0
2439,buzz bomb brewing co,406 e adams st,Springfield,IL,62701.0
2441,carlyle brewing co,215 e state st,Rockford,IL,61104.0
2442,cary ale house,208 w main st lowr 1,Cary,IL,60013.0
2443,chicago beer company,1140 w randolph st,Chicago,IL,60607.0
2445,church street brewing company,1480 industrial dr ste c,Itasca,IL,60143.0
2446,corridor brewery & provisions,3446 n southport ave,Chicago,IL,60657.0
2447,cruz blanca brewery,904 w randolph st,Chicago,IL,60607.0
2448,crystal lake brewing co.,150 n main st,Crystal Lake,IL,60014.0
2449,d and g brewing company,303 n 4th st suite a,Saint Charles,IL,60174.0
2450,decatur brew works,101 n main st,Decatur,IL,62523.0
2451,denovo beverage of monmouth,105 s a st,Monmouth,IL,61462.0
2452,destihl - champaign,301 n neil st,Champaign,IL,61820.0
2453,destihl - normal,318 s towanda ave,Normal,IL,61761.0
2454,destihl brewery,1200 greenbriar dr,Normal,IL,61761.0
2455,door 4 brewing co,1214 w cerro gordo st,Decatur,IL,62522.0
2456,dovetail brewery,1800 w belle plaine ave,Chicago,IL,60613.0
2457,dry city brew works,120b n main st,Wheaton,IL,60187.0
2458,dryhop brewers,3155 n broadway st,Chicago,IL,60657.0
2459,elder brewing co.,218 e cass st,Joliet,IL,60432.0
2460,elmhurst brewing company,171 n addison ave,Elmhurst,IL,60126.0
2461,emmett's brewing co - downers grove,5200 main st,Downers Grove,IL,60515.0
2462,emmett's brewing co - palatine,110 n brockway st,Palatine,IL,60067.0
2463,emmett's brewing co - west dundee,128 w main st,West Dundee,IL,60118.0
2464,emmett's brewing co - wheaton,121 w front st,Wheaton,IL,60187.0
2465,empirical brewery,1801 w foster ave,Chicago,IL,60640.0
2466,engrained brewing co,1120 w lincolnshire blvd,Springfield,IL,62711.0
2467,eris brewery and cider house,4240 w irving park rd,Chicago,IL,60641.0
2468,"evil horse brewing company, llc",1338 main st,Crete,IL,60417.0
2469,excel brewing co,488 s broadway,Breese,IL,62230.0
2470,exit strategy brewing company,7700 madison st,Forest Park,IL,60130.0
2471,finch beer company,1800 w walnut st,Chicago,IL,60612.0
2472,flapjack brewery,6833 stanley ave,Berwyn,IL,60402.0
2473,flesk brewing,200 applebee st ste e,Barrington,IL,60010.0
2474,flossmoor station brewing co,1035 sterling ave,Flossmoor,IL,60422.0
2475,forbidden root restaurant & brewery,1746 w chicago ave,Chicago,IL,60622.0
2476,forge brewhouse,216 n 6th st,Dekalb,IL,60115.0
2477,galena brewing co,227 n main st ste 101,Galena,IL,61036.0
2478,generations brewing company,1400 s adams ave,Freeport,IL,61032.0
2480,gino's brewing company,500 n la salle dr,Chicago,IL,60654.0
2481,"golden fox brewing, llc",2874 n. dinneen street,Decatur,IL,62526.0
2482,goose island beer co / fulton st,1800 w fulton st,Chicago,IL,60612.0
2483,goose island brewpub,1800 n clybourn ave ste b,Chicago,IL,60614.0
2484,grafton winery & brewhaus,300 w main st,Grafton,IL,62037.0
2485,granite city food & brewery ,992 willow rd,Northbrook,IL,60062.0
2486,granite city food & brewery (#19),7144 harrison ave ste 108,Rockford,IL,61112.0
2487,granite city food & brewery (#21),230 conference center dr,East Peoria,IL,61611.0
2488,granite city food & brewery (#22),14035 s la grange rd,Orland Park,IL,60462.0
2489,granite city food & brewery (#30),1828 abriter ct,Naperville,IL,60563.0
2490,granite city food & brewery (#31),801 n plaza dr,Schaumburg,IL,60173.0
2491,great central brewing company,221 n wood st,Chicago,IL,60612.0
2492,greenstar brewing at uncommon ground,3810 n clark st,Chicago,IL,60613.0
2493,gun craft beer,po box 825,Itasca,IL,60143.0
2494,hailstorm brewing company,8060 186th st,Tinley Park,IL,60487.0
2495,hairy cow brewing company,450 e blackhawk dr,Byron,IL,61010.0
2496,half acre beer co,2050 w balmoral ave,Chicago,IL,60625.0
2498,half day brewing company,200 village grn,Lincolnshire,IL,60069.0
2499,hamburger mary's/andersonville brewing company,5402 n clark st,Chicago,IL,60640.0
2500,hand of fate brewing co,107 e douglas ave,Petersburg,IL,62675.0
2501,harbor brewing co,811 sheridan rd suite a,Winthrop Harbor,IL,60096.0
2502,haymarket pub and brewery,737 w randolph st,Chicago,IL,60661.0
2503,hickory creek brewing company llc,1005 w laraway rd unit 260,New Lenox,IL,60451.0
2504,hofbrauhaus chicago,5500 park pl,Rosemont,IL,60018.0
2505,hofbrauhaus st. louis-belleville,123 saint eugene dr,Belleville,IL,62223.0
2507,hop butcher for the world,1000 n frontage rd ste c,Darien,IL,60561.0
2508,hopewell brewing co,2760 n milwaukee ave,Chicago,IL,60647.0
2509,hopskeller brewing company,116 e 3rd st,Waterloo,IL,62298.0
2510,hopvine brewing company,4030 fox valley center dr,Aurora,IL,60504.0
2511,horse thief hollow brewery,10426 s western ave,Chicago,IL,60643.0
2513,ike & oak brewing company,6315 main st,Woodridge,IL,60517.0
2515,illuminated brew works,415 n sangamon st,Chicago,IL,60642.0
2516,imperial oak brewing co,501 willow blvd ste 108,Willow Springs,IL,60480.0
2517,industry brewing,8012 n hale ave,Peoria,IL,61615.0
2518,iron spike brewing company,150 e simmons st ste 1,Galesburg,IL,61401.0
2519,itasca brewing company inc,400 e orchard st ste b,Itasca,IL,60143.0
2520,john s. rhodell brewery,100 walnut st ste 111,Peoria,IL,61602.0
2521,jolly pumpkin pizzeria and brewery,5215 s harper ave,Chicago,IL,60615.0
2522,jt walker's/champaign county brewing co,402 e main st,Mahomet,IL,61853.0
2524,keg grove brewing company,712 e empire st ste 2,Bloomington,IL,61701.0
2525,kings & convicts brewing,523 bank ln,Highwood,IL,60040.0
2526,kinslahger brewing company,6806 roosevelt rd,Oak Park,IL,60304.0
2527,knox county brewing co.,2900 w main st,Galesburg,IL,61401.0
2528,lagrow organic beer co,5435 n wolcott ave,Chicago,IL,60640.0
2531,lake bluff brewing company,16 e scranton ave,Lake Bluff,IL,60044.0
2532,lake brothers beer company,25w275 woodstock ct,Naperville,IL,60540.0
2533,lake effect brewing company,4727 w montrose ave,Chicago,IL,60641.0
2535,lake zurich brewing company,932 donata ct,Lake Zurich,IL,60047.0
2536,lena brewing company,9416 w wagner rd,Lena,IL,61048.0
2537,lieferbrau brewery llc,118 east market street,Red Bud,IL,62278.0
2538,light the lamp brewery,2 s lake st,Grayslake,IL,60030.0
2539,lil beaver brewery,16 currency dr unit b,Bloomington,IL,61704.0
2540,lionstone brewing,1225 s oakwood ave,Geneseo,IL,61254.0
2541,lo rez brewing,2101 s carpenter st,Chicago,IL,60608.0
2542,local option,1102 w webster ave ste 1,Chicago,IL,60614.0
2543,lot 50 brewing,po box 606,Paris,IL,61944.0
2544,"lucky monk burger, pizza & beer co",105 hollywood blvd,South Barrington,IL,60010.0
2545,lunar brewing co,54 e saint charles rd,Villa Park,IL,60181.0
2546,macushla brewing co,1516 e lake ave,Glenview,IL,60025.0
2549,maplewood brewing company,2717 n maplewood ave,Chicago,IL,60647.0
2550,marz community brewing,3630 s iron st,Chicago,IL,60609.0
2551,mchenry brewing company,3425 pearl st.,McHenry,IL,60050.0
2552,metal monkey brewing llc,515 anderson dr ste 900,Romeoville,IL,60446.0
2553,metropolitan brewing,3057 n rockwell st,Chicago,IL,60618.0
2554,mickey finns brewery,345 n milwaukee ave,Libertyville,IL,60048.0
2555,middle brow beer company,2840 w armitage ave,Chicago,IL,60647.0
2556,midnight pig beer,12337 s route 59 unit 155,Plainfield,IL,60585.0
2558,mikerphone brewing,121 garlisch dr,Elk Grove Village,IL,60007.0
2561,monarch brewing company,212 s independence st,Monticello,IL,61856.0
2562,moody tongue brewing company,2136 s peoria st,Chicago,IL,60608.0
2563,more brewing co,126 s villa ave,Villa Park,IL,60181.0
2564,motor row brewing,2337 s michigan ave,Chicago,IL,60616.0
2566,mygrain brewing company,50 e jefferson st ste 106,Joliet,IL,60432.0
2567,noon whistle brewing company,800 e roosevelt rd ste 3,Lombard,IL,60148.0
2568,oak park brewing company,155 s oak park ave,Oak Park,IL,60302.0
2569,obed & isaac's,500 s 6th st,Springfield,IL,62701.0
2570,obed & isaac's microbrewery and eatery - peoria,321 ne madison ave,Peoria,IL,61603.0
2572,off color brewing,3925 w dickens ave,Chicago,IL,60647.0
2573,off-kilter brewing,15810 carbrey ave,South Beloit,IL,61080.0
2574,old herald brewing co,115 e clay st,Collinsville,IL,62234.0
2575,old irving brewing co.,4419 w montrose ave,Chicago,IL,60641.0
2576,old town abbey ales,125 s jefferson st unit 2709,Chicago,IL,60661.0
2577,on tour brewing co.,1725 w hubbard st,Chicago,IL,60622.0
2579,one trick pony brewery,17845 chappel ave # 17851,Lansing,IL,60438.0
2580,only child brewing company,1350 tri state pkwy ste 124,Gurnee,IL,60031.0
2581,open outcry,10934 s western ave,Chicago,IL,60643.0
2582,oswego brewing company,61 main st,Oswego,IL,60543.0
2583,peckish pig,623 howard st,Evanston,IL,60202.0
2584,peel brewing co.,104 s cherry st,O Fallon,IL,62269.0
2585,penrose brewing company,509 stevens st,Geneva,IL,60134.0
2586,piece brewery,1927 w north ave,Chicago,IL,60622.0
2587,pig minds brewing co,4080 steele dr,Machesney Park,IL,61115.0
2590,pipeworks brewing co,3912 w mclean ave ste b,Chicago,IL,60647.0
2591,pizza beer company,5n404 harvest ln,Saint Charles,IL,60175.0
2592,pollyanna brewing company,431 talcott ave,Lemont,IL,60439.0
2593,prairie krafts brewing company,1310 busch pkwy,Buffalo Grove,IL,60089.0
2594,prairie street brewing co.,200 prairie st ste 203,Rockford,IL,61107.0
2595,"rabid brewing, llc",17559 bretz dr,Homewood,IL,60430.0
2596,radicle effect brewerks,1340 31st st,Rock Island,IL,61201.0
2598,ravinia brewing company,582 roger williams,Highland Park,IL,60035.0
2599,recess brewing,307 n main st,Edwardsville,IL,62025.0
2600,revolution brewing,3340 n kedzie ave,Chicago,IL,60618.0
2601,revolution brewing - brewpub,2323 n milwaukee ave,Chicago,IL,60647.0
2602,riggs beer company,1901 s high cross rd,Urbana,IL,61802.0
2604,river hawk brewing,24735 w eames st,Channahon,IL,60410.0
2605,riverlands brewing company,1860 dean st unit a,Saint Charles,IL,60174.0
2606,roaring table brewing,739 w il 22,Lake Zurich,IL,60047.0
2607,rock bottom brewery - chicago,1 w grand ave,Chicago,IL,60654.0
2608,rock bottom brewery - orland park,16156 s la grange rd,Orland Park,IL,60467.0
2609,rock bottom brewery - warrenville,28256 diehl rd,Warrenville,IL,60555.0
2610,rock bottom brewery - yorktown,94 yorktown ctr,Lombard,IL,60148.0
2611,rock bottom brewery & restaurant - bolingbrook,639 e boughton rd ste 100,Bolingbrook,IL,60440.0
2612,rolling meadows farm brewery,3954 central point rd,Cantrall,IL,62625.0
2613,route 51 brewing company,18967 n us hwy 51,Elkville,IL,62932.0
2615,scorched earth brewing co.,203 berg st,Algonquin,IL,60102.0
2616,scratch brewing company,264 thompson rd,Ava,IL,62907.0
2619,short fuse brewing company,5000 river rd,Schiller Park,IL,60176.0
2620,side lot brewery,110 slocum lake rd,Wauconda,IL,60084.0
2622,skeleton key brewery,8102 lemont rd ste 300,Woodridge,IL,60517.0
2623,sketchbook brewing company,821 chicago ave,Evanston,IL,60202.0
2624,small town brewery,1000 n rand rd ste 204,Wauconda,IL,60084.0
2625,smylie brothers brewing co,1615 oak ave,Evanston,IL,60201.0
2626,solemn oath brewery,1661 quincy ave ste 179,Naperville,IL,60540.0
2628,soundgrowler brewing co.,8201 183rd st ste p,Tinley Park,IL,60487.0
2629,spiteful brewing,2024 w balmoral ave,Chicago,IL,60625.0
2630,st nicholas brewing co,12 s oak st,Du Quoin,IL,62832.0
2631,steam hollow brewing co,450 s spruce st unit c,Manteno,IL,60950.0
2632,stockholms vardshus,306 w state st,Geneva,IL,60134.0
2633,stubborn german brewing co,119 s main st,Waterloo,IL,62298.0
2634,tangled roots brewing company,130 e madison st,Ottawa,IL,61350.0
2635,"temperance beer company, llc",2000 dempster st,Evanston,IL,60202.0
2636,ten ninety brewing co,1025 waukegan rd,Glenview,IL,60025.0
2637,the berghoff brewery inc.,1730 w superior st apt 3w,Chicago,IL,60622.0
2638,the hop brewery,203 w market st,Christopher,IL,62822.0
2639,the old bakery beer company,400 landmarks blvd,Alton,IL,62002.0
2640,tighthead brewing co,161 n archer ave,MUNDELEIN,IL,60060.0
2641,tocayo brewing company,1 s dearborn st ste 1700,Chicago,IL,60603.0
2643,tribe beer brewery & taproom on front street,11120 front st,Mokena,IL,60448.0
2644,tribes beer company,11120 front street,Mokena,IL,60448.0
2645,triptych brewing,1703 woodfield dr,Savoy,IL,61874.0
2646,twisted hippo,2925 w montrose ave,Chicago,IL,60618.0
2647,two brothers brewing co,30w315 calumet ave w,Warrenville,IL,60555.0
2648,une annee brewery,9082 w golf rd,Niles,IL,60714.0
2649,urban renewal brewery,5121 n. ravenswood ave.,Chicago,IL,60640.0
2650,vice district tap room,1454 s michigan ave ste 1,Chicago,IL,60605.0
2651,village vintner winery & brewery,2380 esplanade dr ste 100,Algonquin,IL,60102.0
2652,von jakob winery,230 illinois hwy 127,Alto Pass,IL,62905.0
2653,wake brewing,2529 5th ave,Rock Island,IL,61201.0
2654,werk force brewing co,14903 s center st # 107,Plainfield,IL,60544.0
2655,whiner beer company,1400 w 46th st,Chicago,IL,60609.0
2656,whiskey hill brewing,1115 zygmunt cir,Westmont,IL,60559.0
2657,white oak brewing,1801 industrial park dr,Normal,IL,61761.0
2658,wild onion brewing co.,22221 n pepper rd,Lake Barrington,IL,60010.0
2659,will county brewing company,1142 w jefferson st,Shorewood,IL,60404.0
2660,wishful acres farm and brewery,4679 n flansburg rd,Lena,IL,61048.0
2661,wolfden brewing company,112 w lake st,Bloomingdale,IL,60108.0
2663,zum bier,3232 e monroe st,Waukegan,IL,60085.0
2664,10-56 brewing company,2120 s us hwy 35,Knox,IN,46534.0
2665,18th street brewery,5725 miller ave,Gary,IN,46403.0
2668,450 north brewing company @ simmons winery,8111 e 450 n,Columbus,IN,47203.0
2670,95ate5 brewpub,9585 n industrial dr,Saint John,IN,46373.0
2672,auburn brewing company,309 n main st,Auburn,IN,46706.0
2673,back alley brewing co,211 s main st,Goshen,IN,46526.0
2674,back road brewery,308 perry st,La Porte,IN,46350.0
2675,backstep brewing company,125 n green st,Crawfordsville,IN,47933.0
2676,bad dad brewery,407 w. washington st. ste. c,Fairmount,IN,46928.0
2677,bare hands brewery,12804 sandy ct,Granger,IN,46530.0
2678,barley island brewing co,639 e conner st,Noblesville,IN,46060.0
2679,basket case brewing co,1340 mill st,Jasper,IN,47546.0
2680,beech bank brewing company,301 main st,Beech Grove,IN,46107.0
2682,bier brewery and taproom,5133 e 65th st,Indianapolis,IN,46220.0
2683,big leaf brewing,1320 durkees ferry rd,West Terre Haute,IN,47885.0
2684,big lug canteen,1435 e 86th st,Indianapolis,IN,46240.0
2685,big woods brewery,60 mollys ln,Nashville,IN,47448.0
2686,birdboy brewing co,210 e collins rd,Fort Wayne,IN,46825.0
2687,black acre brewing co,5632 e washington st,Indianapolis,IN,46219.0
2688,black circle brewing co,2201 e 46th st,Indianapolis,IN,46205.0
2689,black swan brewpub,2067 e hadley rd,Plainfield,IN,46168.0
2690,blind owl brewery,5014 e 62nd st,Indianapolis,IN,46220.0
2691,bloomington brewing co,1795 e 10th st,Bloomington,IN,47407.0
2693,books & brews,9402 uptown dr ste 1400,Indianapolis,IN,46256.0
2694,brew link brewing,212 e. main,Plainfield,IN,46168.0
2697,broad ripple brewing co,842 e 65th st,Indianapolis,IN,46220.0
2698,brokerage brewing company,2516 covington st,West Lafayette,IN,47906.0
2699,brugge brasserie,1011a e westfield blvd,Indianapolis,IN,46220.0
2700,bulldog brewing,1409 119th st,Whiting,IN,46394.0
2701,burn'em brewing,718 freyer rd,Michigan City,IN,46360.0
2702,byway brewing company,2825 carlson dr,Hammond,IN,46323.0
2703,cannon ball brewing company,1702 bellefontaine st,Indianapolis,IN,46202.0
2705,carson's brewery,2404 lynch rd,Evansville,IN,47711.0
2706,cedar creek brewing co.,3820 leonard rd,Martinsville,IN,46151.0
2707,centerpoint brewing,1125 e brookside ave,Indianapolis,IN,46202.0
2708,central state brewing,4001 e 26th st,Indianapolis,IN,46218.0
2709,chapman's brewing company,300 industrial dr,Angola,IN,46703.0
2710,chateau de pique winery & brewery,6361 n county road 760 e,Seymour,IN,47274.0
2712,chilly water brewing company,719 virginia ave ste 105,Indianapolis,IN,46203.0
2713,city wineworks,69 n broadway,Peru,IN,46970.0
2714,civilian brewing corps,14 n washington st,Spencer,IN,47460.0
2715,cognito brewery and tap house,8622 louisiana pl,Merrillville,IN,nan
2716,crasian brewing co,5528 e sheridan road,Monticello,IN,47960.0
2718,creek bottom brew llc,24037 hilltop rd,Oldenburg,IN,47036.0
2719,crooked ewe brewery & ale house,1047 lincoln way e,South Bend,IN,46601.0
2720,crown brewing co,211 s east st,Crown Point,IN,46307.0
2721,ct doxey brewing co,718 jackson st,Anderson,IN,46016.0
2722,danny boy beer works,12702 meeting house rd,Carmel,IN,46032.0
2723,daredevil brewing company,1151 n main st,Indianapolis,IN,46224.0
2724,deer creek brewery,17661 cumberland rd,Noblesville,IN,46060.0
2725,deviate brewing co,4004 w 96th st,Indianapolis,IN,46268.0
2726,devil's trumpet brewing co,8250 utah st,Merrillville,IN,46410.0
2727,donum dei brewery,3211 grant line rd ste 3,New Albany,IN,47150.0
2730,elm street brewing company,519 n elm st,Muncie,IN,47305.0
2731,evansville brewhouse,56 adams ave,Evansville,IN,47713.0
2732,evil czech brewery,3703 n main st,Mishawaka,IN,46545.0
2733,falls city brewing company,1430 w franklin st,Evansville,IN,47710.0
2735,fenwick farms brewing company,219 w washington st,Rensselaer,IN,47978.0
2736,field brewing,303 e main st,Westfield,IN,46074.0
2737,figure eight brewing co,150 washington st,Valparaiso,IN,46383.0
2738,flat 12 bierwerks,414 dorman st,Indianapolis,IN,46202.0
2740,floyd county brewing company,129 w main st,New Albany,IN,47150.0
2741,fountain square brewing co,1301 barth ave,Indianapolis,IN,46203.0
2742,four day ray brewing,11671 lantern rd,Fishers,IN,46038.0
2743,four fathers brewing,1555 w lincolnway ste 105,Valparaiso,IN,46385.0
2744,function brewing co,108 e 6th st,Bloomington,IN,47408.0
2745,garfield brewery,2310 shelby st,Indianapolis,IN,46203.0
2747,gnometown brewing co,203 e berry st ste 104,Fort Wayne,IN,46802.0
2748,goshen brewing company,315 w washington st,Goshen,IN,46526.0
2749,grand junction brewing co,110 s union st,Westfield,IN,46074.0
2750,granite city food & brewery,150 w 96th st,Indianapolis,IN,46260.0
2751,granite city food & brewery (#24),3809 coldwater rd,Fort Wayne,IN,46805.0
2752,granite city food & brewery (#26),6501 grape rd ste 1000,Mishawaka,IN,46545.0
2754,great crescent brewery,315 importing st,Aurora,IN,47001.0
2755,guesswork brewing company ,108 s orange st,Albion,IN,46701.0
2757,half moon restaurant & brewery,4051 s lafountain st,Kokomo,IN,46902.0
2758,heavenly goat brewing company,7321 heritage square dr ste 190,Granger,IN,46530.0
2759,hop river brewing company,1515 n harrison st,Fort Wayne,IN,46808.0
2760,hoplore brewing co.,100 s old state road 15,Leesburg,IN,47538.0
2761,hunter's brewing,1535 s calumet rd,Chesterton,IN,46304.0
2763,iechyd da brewing,317 n main st,Elkhart,IN,46516.0
2764,indiana city brewing,24 shelby street,Indianapolis,IN,46202.0
2765,ironwood brewing co llc,6 roosevelt rd,Valparaiso,IN,46383.0
2766,junk ditch brewing company,1825 w main st,Fort Wayne,IN,46808.0
2767,kopacetic beer factory,12195 n us hwy 421,Monticello,IN,47960.0
2768,lafayette brewing co,622 main st,Lafayette,IN,47901.0
2769,laotto brewing llc,202 s main st,Laotto,IN,46763.0
2770,lil' charlie's restaurant & brewery,504 e pearl st,Batesville,IN,47006.0
2771,liter house,5301 winthrop ave,Indianapolis,IN,46220.0
2772,mad anthony brewing co,2002 broadway,Fort Wayne,IN,46802.0
2773,mad paddle brewery,301 west st,Madison,IN,47250.0
2774,maidens brewery,209 north wabash avenue of flags,Evansville,IN,47712.0
2775,main street brewing inc/turonis pizza,408 n main st,Evansville,IN,47711.0
2776,man cave brewing,10201 n sr 13,Syracuse,IN,46567.0
2777,mashcraft brewing,1140 n state road 135 ste m,Greenwood,IN,46142.0
2778,mashcraft fishers,11069 allisonville rd,Fishers,IN,46038.0
2779,metazoa brewing co.,140 s college ave,Indianapolis,IN,46202.0
2780,mind over mash brewing company,486 southpoint cir ste 106,Brownsburg,IN,46112.0
2782,moontown brewing,345 s bowers st,Whitestown,IN,46075.0
2783,nailers brewing company,6001 n us highway 31,Whiteland,IN,46184.0
2784,new albanian bank street brewhouse,415 bank st,New Albany,IN,47150.0
2785,new albanian brewing co,3312 plaza dr,New Albany,IN,47150.0
2786,new boswell brewing co,923 n e st,Richmond,IN,47374.0
2787,new corner brewing company,1900 w mt pleasant blvd ste g,Muncie,IN,47302.0
2788,new oberpfalz brewing,121 e main st,Griffith,IN,46319.0
2789,noble order brewing company,3407 national rd w,Richmond,IN,47374.0
2790,norris english pub,202 e seminary st,Liberty,IN,47353.0
2791,oaken barrel brewing co,50 airport pkwy ste l,Greenwood,IN,46143.0
2792,off square brewing,11000 delaware pkwy,Crown Point,IN,46307.0
2793,old 41 brewing company,729 n 7th st,Terre Haute,IN,47807.0
2794,orthocity brewery and smokehouse,975 warren st,Warsaw,IN,46580.0
2796,pax verum brewing,908 n main st,Lapel,IN,46051.0
2797,peoples brewing co,2006 n 9th street rd,Lafayette,IN,47904.0
2798,planetary brewing company,500 polk st ste 22,Greenwood,IN,46143.0
2799,plat 35  brewery,100 lincoln st,Porter,IN,46304.0
2800,point blank brewing company,105 e beaver st,Corydon,IN,47112.0
2801,"pokro brewing company, the",311 n broad st,Griffith,IN,46319.0
2802,power house brewing co's columbus bar,2735 n state road 9,Columbus,IN,47203.0
2804,quaff on brewing,1934 state road 135 n,Nashville,IN,47448.0
2805,ram restaurant and brewery - indianapolis,140 s illinois st,Indianapolis,IN,46204.0
2806,red foot brewing co/ the red yeti,256 spring st,Jeffersonville,IN,47130.0
2807,redemption alewerks,7035 e 96th st ste k,Indianapolis,IN,46250.0
2808,rock bottom brewery - indianapolis,10 w washington st,Indianapolis,IN,46204.0
2809,round town brewery,950 s white river pky west dr ste 100,Indianapolis,IN,46221.0
2811,salt creek brewery,466 old state road 37 n,Bedford,IN,47421.0
2812,scarlet lane brewing company llc,7724 depot st,McCordsville,IN,46055.0
2813,schnabeltier,491 apache dr,Rochester,IN,46975.0
2814,schnitz brewery,2031 newton st,Jasper,IN,47546.0
2815,shaggy ass brewery / tj haase winery,708 e 3rd st,Clinton,IN,47842.0
2816,shale creek brewing,178 w jefferson st,Franklin,IN,46131.0
2817,shoreline brewery,208 wabash st,Michigan City,IN,46360.0
2818,south bend brew werks,216 s michigan st,South Bend,IN,46601.0
2819,st john malt brothers brewing,9607 wicker ave,Saint John,IN,46373.0
2820,st. benedict's brew works,860 e 10th st,Ferdinand,IN,47532.0
2821,st. joseph brewery & public house,540 n college ave,Indianapolis,IN,46204.0
2822,studebaker brewing company,620 w washington st,South Bend,IN,46601.0
2823,summit city brewerks,1501 e berry #106,Fort Wayne,IN,46803.0
2824,sun king brewery,7848 e 96th st,Fishers,IN,46037.0
2825,sun king brewing co,135 n college ave,Indianapolis,IN,46202.0
2827,switchyard brewing company,419 n walnut st,Bloomington,IN,47404.0
2828,taxman brewing co,13 s baldwin st,Bargersville,IN,46106.0
2829,teays river brewing,3000 s 9th st ste a,Lafayette,IN,47909.0
2830,tell city brewing company,706 humboldt st,Tell City,IN,47586.0
2831,terre haute brewing company,401 s 9th st,Terre Haute,IN,47807.0
2832,the guardian brewing company,514 e jackson street,Muncie,IN,47305.0
2833,the koontz lake brewing company,7747 n state road 23,Walkerton,IN,46574.0
2834,the seymour brewing company,753 w 2nd st,Seymour,IN,47274.0
2835,the sour note brewing,489 fayette st,Hammond,IN,46320.0
2836,the tap brewery,204 w kirkwood ave,Bloomington,IN,47404.0
2837,the vincennes brewing company,124 main st,Vincennes,IN,47591.0
2838,thieme & wagner brewery,652 main st,Lafayette,IN,47901.0
2839,thr3e wise men brewing co,1021 broad ripple ave,Indianapolis,IN,46220.0
2840,three floyds brewing co,9750 indiana pkwy,Munster,IN,46321.0
2841,tin man brewing kokomo,500 n buckeye st a,Kokomo,IN,46903.0
2842,traders brewing company,8587  zionsville road,INDIANAPOLIS,IN,46268.0
2843,triton brewing company,5764 wheeler rd,Indianapolis,IN,46216.0
2844,trubble brewing,2725 broadway,Fort Wayne,IN,46807.0
2845,twenty below brewing @ twenty tap,5406 n college ave,Indianapolis,IN,46220.0
2846,twodeep brewing,714 n capitol ave,Indianapolis,IN,46204.0
2847,union brewing,622 s rangeline rd ste q,Carmel,IN,46032.0
2848,upland brewing co,4060 w profile pkwy,Bloomington,IN,47404.0
2850,upland brewing co - bloomington brewpub,4060 profile parkway,Bloomington,IN,47404.0
2851,urban vines winery and brewery,303 e 161st st,Westfield,IN,46074.0
2852,wabash brewing,5328 w 79th st,Indianapolis,IN,46268.0
2854,wasser brewing company,102 e franklin st,Greencastle,IN,46135.0
2855,watertower estates winery and brewery,525 w springhill dr,Terre Haute,IN,47802.0
2858,wildrose brewing company,1104 e main st,Griffith,IN,46319.0
