,Brewery,Address,City,State,ZIP Code
7292,Sean Patrick's Pub,,San Marcos,TX,78666
7297,Siren Rock Brewing Company,,Rockwall,TX,75087
7300,Slantways Brewing Company,,The Woodlands,TX,77381
7304,Southerleigh Brewing,,San Antonio,TX,78235
7306,Southern Roots LLC,,Waco,TX,76701
7313,Stache Rabbit Brewing Company,,Austin,TX,78727
7314,Stained Glass Beerworks,,Houston,TX,77066
7321,Tapscendence Brewing Company,,Houston ,TX,77027
7334,The Manhattan Project Beer Company,15103 Surveyor Blvd,Addison,TX,75001
7341,"Three Empires Brewing Company, LLC",,Pearland,TX,77584
7348,"Tusculum Holdings, LLC",,Boerne,TX,78006
7350,TWIN SISTERS,,San Antonio,TX,78210
7354,Two Knights Brewing,,Austin,TX,78701
7364,Vector Brewing,,Dallas,TX,75238
7365,Viaduct Development,,Plano,TX,75074
7367,Waco Ale Company,,Waco,TX,76701
7368,Walking Beam Brewing Co,,Bridgeport,TX,76426
7370,Weilbacher Brewery,,New Braunfels,TX,78130
7371,Westlake Brewing Company,,Dallas,TX,75226
7374,Whitis AleWorks,,Houston,TX,77069
7382,Yaxx Brewing Company,,Waco,TX,76706
7389,Brewery In Planning - Draper,,Midvale,UT,84047
7390,"Brewery in Planning - Park City, UT",,Park City,UT,84098
7391,"Brewery in Planning - Salt Lake City, UT",,Salt Lake City,UT,84104
7394,Eddie McStiffs Brewing Co c/o Eddie Snyder,57 S Main St,Moab,UT,84532
7398,Grid City Beer Works,,Salt Lake City,UT,84115
7400,Hopkins Brewing Company,,Salt Lake City,UT,84106
7405,Ogden River Brewing ,,Ogden,UT,
7410,Proper Brewing Co,857 S Main St,Salt Lake City,UT,84111
7426,Two Gringos Brewing,,Saint George,UT,84790
7429,UTOG Brewing Company,,Ogden,UT,84401
7441,Brewery In Planning - Waterbury,,Waterbury,VT,05676
7445,Collaborative Brewing LLC,,Waitsfield,VT,05673
7448,Droppa Brewing Co,,South Burlington,VT,05403
7449,Farm Road Brewery,,Arlington,VT,05250
7474,LegenDairy Maple,,Williamstown,VT,05679
7484,"Outer Limits Brewing, LLC",,Proctorsville,VT,05153
7488,Red Clover Ale Company,,Brandon,VT,
7495,Slippery Slope Brewing Company,,Dummerston,VT,05301
7502,Upper Pass Beer Co,,Tunbridge,VT,
7518,Altered Suds Beer Co.,,Warrenton ,VA,20186
7544,Belbridge Brewing Company,,Richmond,VA,23220
7562,Brewery In Planning - Arlington,,Mc Lean,VA,22101
7563,Brewery In Planning - Colonial Beach,,King George,VA,22485
7564,"Brewery In Planning - Gordonsville, VA",,Gordonsville,VA,
7565,Brewery In Planning - Marion,,Marion,VA,24354
7566,"Brewery in Planning - Mount sidney, VA",,Mount Sidney,VA,24467
7567,"Brewery in Planning - Raphine, VA",,Raphine,VA,24472
7568,Brewery in Planning - Richmond,,Richmond,VA,23226
7569,Brewery In Planning - Salem,,Salem,VA,24153
7570,"Brewery in Planning - Timberville, VA",,Timberville,VA,22853
7571,Brewery in Planning - Virginia Beach,,Virginia Beach,VA,23454
7585,Cedar Run Brewery,,Nokesville,VA,20181
7594,COVA Brewing Co.,,Norfolk,VA,23503
7598,Decipher Brewing Co.,,Charlottesville,VA,22902
7604,Dragon Run Brewing,,Manquin,VA,23106
7607,Elation Brewing,,Norfolk,VA,23508
7614,Folsom's Brewing Company,,Alexandria,VA,
7625,Griffin Owens Insurance Group,,Herndon,VA,20170
7631,Harry's Beer Company,,Fredericksburg,VA,22551
7634,High Speed Low Drag Brewing LLC,,Alexandria,VA,22307
7646,Johnson's Orchards Inc. T/A Sheep Creek Brewery,,Bedford,VA,24523
7647,Jurnee Brewing Company,,Chantilly,VA,20152
7653,Level 350 Brewing Co.™,,Purcellville,VA,20132
7658,Long Way Brewing,,Radford,VA,24141
7681,Old Ox Brewery,,Middleburg,VA,20117
7684,Olde Salem Brewing Company,21 E Main St,Salem,VA,24153
7713,Shotwell Run Brewing Company,,Etlan,VA,22719
7723,Starr Hill Beer Hall - Richmond,,Richmond,VA,23230
7727,Statement Brewing Company,,Chester,VA,23836
7731,Straight Shot Brewing,,Poquoson,VA,23662
7734,Strangeways Brewing Company,,Richmond,VA,23230
7748,The Veil Brewpub,,Norfolk,VA,23517
7749,The Veil Production Facility,,Richmond,VA,
7767,Vibrant Shore Brewing Company,,Virginia Beach,VA,23451
7771,Wheatland Spring Brewery,,Waterford,VA,20197
7821,Big Block Brewing,,Redmond,WA,98052
7833,Bottle Bay Brewing,,Spokane,WA,
7836,"Brewery in Planning - Port Orchard, WA",,Port Orchard,WA,98366
7837,Brewery in Planning - Seattle,,Seattle,WA,98133
7838,Brewery In Planning - Spokane,,Spokane,WA,99208
7839,Brewery In Planning - Spokane,,Spokane,WA,99224
7844,Buffalo Brewing Co,,Toppenish,WA,98948
7849,Captains Brewing Company,,Ridgefield,WA,98642
7864,Crooked Label Brewing Company,,Seattle,WA,98125
7889,E2W Brewing,,Gig Harbor,WA,98332
7890,E9 Brewing Company,,Tacoma,WA,98402
7892,ELK POND Craft Ales,,Olympia,WA,98501
7902,Enso Brewing Company,,Vashon,WA,98070
7904,Explorer Brewing Company,,Kelso,WA,98604
7905,Fair Isle Brewing,,Seattle,WA,98199
7944,GSP Craft Brewing,,Gig Harbor,WA,98332
7977,Ladd & Lass Brewing,,Seattle,WA,98122
7989,Lost Bear Brews,,Woodinville,WA,98072
7991,Lost Woods Brewery,,Bonney Lake,WA,
8012,Methow Valley Brewing Co,,Twisp,WA,98856
8021,Mountain Gate Brewing,,Sedro Woolley,WA,98284
8025,Mutiny Bay Brewing Co,,Freeland ,WA,98249
8037,Northish Beer Company,,Tacoma,WA,98444
8039,Northwest Passage Craft Brewery,,Vancouver,WA,98661
8042,Nosdunk Brewing Company,,Walla Walla,WA,99362
8057,"Pacific Northwest Brewing Center, LLC",,Everett,WA,98208
8059,Paddle Brewing Company,,Issaquah,WA,98029
8071,Precious Things Fermentation Project,,Spokane,WA,99217
8073,Puyallup River Brewing Co,,Puyallup,WA,98375
8100,Rock Wood Fired Pizza / Keep Rockin' LLC,14209 29th St E Ste 102,Sumner,WA,98390
8125,Smitty's Brewing,,Bremerton,WA,98312
8129,Snow Eater Brewing Company,,Liberty Lake,WA,99019
8132,Spada Farmhouse Brewery,,Snohomish,WA,98290
8134,Squirrel Fight Artisan Brewing,,Moses Lake,WA,98837
8138,Stemma Brewing Company Inc.,,Bellingham,WA,98229
8144,Sun Mountain Brewing Company,,Spokane Valley,WA,99016
8151,Terramar,,Bow,WA,98232
8153,The Good Society,,Seattle,WA,98136
8164,Trap Door Brewing,2315 Main St,Vancouver,WA,98660
8173,Underground Brewing,,Woodinville,WA,98072
8194,Whipsaw Brewing,,Ellensburg,WA,98926
8202,Woods Cabin Brewery,,Yarrow Point,WA,98004
8205,Young Buck Brewing,154 S Madison St,Spokane,WA,99201
8207,Amani Brewing Company,,Martinsburg,WV,25403
8208,"Angry Iguana Brewing Company, LLC",,Berkeley Springs,WV,25411
8217,Cacapon Mountain Brewing Company,,Berkeley Springs,WV,25411
8220,Eight Rivers Brewery,,Hillsboro,WV,24946
8226,Old Spruce Brewing,,Snowshoe,WV,26209
8228,Rippon Brewing Company,,Rippon,WV,25441
8242,Agonic Brewing Company LLC,,Rice Lake,WI,54868
8244,Al. Ringling Brewing Co.,,Baraboo,WI,53913
8260,Bobtown Brewhouse & Grill,220 W Main St,Roberts,WI,54023
8262,Brewery In Planning - Delavan,,Delavan,WI,
8263,"Brewery In Planning - Lomira, WI",,Lomira,WI,
8264,Brewery In Planning - Milwaukee,,Milwaukee,WI,53221
8265,"Brewery in Planning - Wausau, WI",,Wausau,WI,54403
8267,Brewery Resolute,,Stevens Point,WI,54481
8269,"BrewPlan, Inc.",,Onalaska,WI,54650
8287,"Corvale, LLC",,Iron River,WI,54847
8305,Fountain City Brewing Co / Monarch Public House,19 N Main St,Fountain City,WI,54629
8309,Foxtown Brewing,,Mequon,WI,53097
8313,G5 Brewing Company,,BELOIT,WI,53511
8336,Jarzombek Brewing Co.,,Port Washington,WI,53074
8357,Milwaukee Brewing Company,1128 N 9th St,Milwaukee,WI,53233
8372,Old Abe Brewing,,Hartland,WI,
8375,Ombibulous Brewing Company,,Fall Creek,WI,54742
8377,OOGA Brewing Company,,Beaver Dam,WI,53916
8386,Popple River Brewing,,Argonne,WI,54511
8410,Sahale Ale Works,,Grafton,WI,53024
8411,Sand Creek Brewing Co,320 Pierce St,Black River Falls,WI,54615
8412,Sapporo Brewery USA,,La Crosse,WI,54601
8427,SteelHead Aleworks,,Mukwonago,WI,53149
8473,Bond's Brewing Company,,Laramie,WY,82070
8474,"Brewery in Planning - Riverton, WY",,Riverton,WY,82501
8475,"Brewery In Planning : HOVER Brewery, Casper, WY",,Casper,WY,82601
8493,Roadhouse Pub and Eatery,,Jackson Hole,WY,83001
8494,Sheridan Brewing company,,Sheridan,WY,82801
8502,Wyoming Territory Brewing / Eric Bischoff Family Brewing,,Cody,WY,82414
