,Brewery,Address,City,State,ZIP Code
57,Barnaby Brewing Company,165 Shattuck way,Juneau,AK,99801
58,Bawden Street Brewing Co,325 Bawden St,Ketchikan,AK,99901
59,Bearpaw River Brewing Co,4605 E Palmer Wasilla Hwy,Wasilla,AK,99654
60,Black Spruce Brewing Company,3290 Peger Rd Ste B,Fairbanks,AK,99709
61,Bleeding Heart Brewery,1150 S Colony Way Ste 3 Pmb 618,Palmer,AK,99645
62,Broken Tooth Brewing Co,2021 Spar Ave,Anchorage,AK,99501
63,"Cooper Landing Brewing Company, LLC.",34898 Caribou Heights Cir,Cooper Landing,AK,99572
64,Cynosure Brewing,144 E Potter Dr Unit E,Anchorage,AK,99518
65,Denali Brewing Company,37083 Talkeetna Spur Rd,Talkeetna,AK,99676
66,Devil's Club Brewing,100 N Franklin St,Juneau,AK,99801
67,Gakona Brewing Company,"PO Box 336 Mile 0.5 Tok Cutoff hwy, Lot 11",Gakona,AK,99586
68,Girdwood Brewing Company,2700 Alyeska Highway,Girdwood,AK,99587
69,Glacier Brewhouse,737 W 5th Ave Ste 110,Anchorage,AK,99501
70,"Grace Ridge Brewing, Inc.",3388 B St Suite 2,Homer,AK,99603
71,Growler Bay Brewing Co,,Valdez,AK,99686
72,Haines Brewing Co,327 Main St,Haines,AK,99827
73,Homer Brewing Co,1411 Lake Shore Dr,Homer,AK,99603
74,HooDoo Brewing Co,1951 Fox Ave,Fairbanks,AK,99701
75,Humpy's Great Alaskan Alehouse,610 W 6th Ave,Anchorage,AK,99501
76,Icy Strait Brewery,286 Front St,Hoonah,AK,99829
77,Kassik's Brewery,47160 Spruce Haven St,Kenai,AK,99611
78,Kenai River Brewing Co,308 Homestead Ln,Soldotna,AK,99669
79,King Street Brewing Co,9050 King Street,Anchorage,AK,99515
80,Klondike Brewing Company,365 2nd Ave,Skagway,AK,99840
81,"Kodiak Island Brewing Co, LLC",117 Lower Mill Bay Rd,Kodiak,AK,99615
82,Last Frontier Brewing Company,238 N Boundary St,Wasilla,AK,99654
83,Matanuska Brewing Company,513 S Valley Way,Palmer,AK,99645
84,Midnight Sun Brewing Co,8111 Dimond Hook Dr,Anchorage,AK,99507
85,Midnite Mine Brewpub,,Fairbanks,AK,99701
86,Odd Man Rush,10930 Mausel St Ste A1,Eagle River,AK,99577
87,Onsite Brewing Company,,Anchorage,AK,99503
88,"Resolution Brewing Company, LLC",3024 Mountain View Drive,Anchorage,AK,99501
89,RoughWoods Inn,623 North A St,Nenana,AK,99760
90,Seward Brewing,139 4th Ave,Seward,AK,99664
91,Silver Gulch Brewing Co,2195 Old Steese Highway,Fox,AK,99712
92,Skagway Brewing Co,250 4th Ave.,Skagway,AK,99840
93,St Elias Brewing Co,434 Sharkathmi Ave,Soldotna,AK,99669
94,Turnagain Brewing,,Anchorage,AK,99507
95,12 West Brewing Company,3000 E Ray Rd Bldg 6,Gilbert,AZ,85296
96,12 West Brewing Company - Production Facility,7733 E McDowell Rd,Mesa,AZ,85207
97,1912 Brewing,2045 N Forbes Blvd Ste 105,Tucson,AZ,85745
98,8-Bit Aleworks,1050 N Fairway Dr Bldg F Ste 10,Avondale,AZ,85323
99,"ARIZONA BREWING COMPANY, LLC",8790 E VIA DE VENTURA #4456,SCOTTSDALE,AZ,85258
100,Arizona Craft Brewing,,Elgin,AZ,85611
101,Arizona Wilderness Brewing,721 N Arizona Ave,Gilbert,AZ,85233
102,Bad Water Brewing,4216 N Brown Ave,Scottsdale,AZ,85251
103,Barley Brothers Brewery,1425 McCulloch Blvd N,Lake Havasu City,AZ,86403
104,Barnstar Brewing,4050 North Tonto Rd (Forest Service Rd.102),Skull Valley,AZ,86338
105,Barrio Brewing Co,800 E 16th St,Tucson,AZ,85719
106,Beaver Street Brewery,11 S Beaver St Ste 1,Flagstaff,AZ,86001
107,"Beer Research Institute, The",1641 S Stateley Dr Ste 104,Mesa,AZ,85204
108,BJs Restaurant & Brewery - Chandler,3155 W Chandler Blvd,Chandler,AZ,85226
