GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of establishments,"Sales ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of sales from administrative records (%),Percent of sales estimated (%)
0400000US02,2,Alaska,,722,Food services and drinking places,,2012,1584,1387038,418635,93199,20057,22.8,8.8
0400000US02,2,Alaska,,7223,Special food services,,2012,162,289140,115185,26567,2932,1,1.5
0400000US02,2,Alaska,,72231,Food service contractors,,2012,115,282416,113646,26348,2834,0.1,1.3
0400000US02,2,Alaska,,722310,Food service contractors,,2012,115,282416,113646,26348,2834,0.1,1.3
0400000US02,2,Alaska,,72232,Caterers,,2012,11,2643,634,73,39,31.6,17.8
0400000US02,2,Alaska,,722320,Caterers,,2012,11,2643,634,73,39,31.6,17.8
0400000US02,2,Alaska,,72233,Mobile food services,,2012,36,4081,905,146,59,40.9,11
0400000US02,2,Alaska,,722330,Mobile food services,,2012,36,4081,905,146,59,40.9,11
0400000US02,2,Alaska,,7224,Drinking places (alcoholic beverages),,2012,177,106984,28805,6786,1746,36.3,13.2
0400000US02,2,Alaska,,72241,Drinking places (alcoholic beverages),,2012,177,106984,28805,6786,1746,36.3,13.2
0400000US02,2,Alaska,,722410,Drinking places (alcoholic beverages),,2012,177,106984,28805,6786,1746,36.3,13.2
0400000US02,2,Alaska,,7225,Restaurants and other eating places,,2012,1245,990914,274645,59846,15379,27.8,10.5
0400000US02,2,Alaska,,72251,Restaurants and other eating places,,2012,1245,990914,274645,59846,15379,27.8,10.5
0400000US02,2,Alaska,,722511,Full-service restaurants,,2012,560,529333,168060,36195,7989,36.1,10.6
0400000US02,2,Alaska,,722513,Limited-service restaurants,,2012,423,373538,84466,18620,5658,17.9,10.3
0400000US02,2,Alaska,,722514,"Cafeterias, grill buffets, and buffets",,2012,8,16933,4571,1066,246,0,0
0400000US02,2,Alaska,,722515,Snack and nonalcoholic beverage bars,,2012,254,71110,17548,3965,1486,24.1,12.5
0400000US04,4,Arizona,,72,Accommodation and food services,,2012,11669,13996635,4030307,1022952,251455,13.1,12.8
0400000US04,4,Arizona,,721,Accommodation,,2012,1309,4331797,1189893,302193,48372,4.6,16.5
0400000US04,4,Arizona,,7211,Traveler accommodation,,2012,1049,4139954,1151028,292867,46234,4.2,16.9
0400000US04,4,Arizona,,72111,Hotels (except casino hotels) and motels,,2012,978,3272357,937651,239132,40168,5.3,18.2
0400000US04,4,Arizona,,721110,Hotels (except casino hotels) and motels,,2012,978,3272357,937651,239132,40168,5.3,18.2
0400000US04,4,Arizona,,72112,Casino hotels,,2012,6,844855,207391,52510,5737,0,12.4
0400000US04,4,Arizona,,721120,Casino hotels,,2012,6,844855,207391,52510,5737,0,12.4
0400000US04,4,Arizona,,72119,Other traveler accommodation,,2012,65,22742,5986,1225,329,8,5.5
0400000US04,4,Arizona,,721191,Bed-and-breakfast inns,,2012,44,10731,2592,623,178,13,3.8
0400000US04,4,Arizona,,721199,All other traveler accommodation,,2012,21,12011,3394,602,151,3.6,6.9
0400000US04,4,Arizona,,7212,RV (recreational vehicle) parks and recreational camps,,2012,245,173096,34895,8423,1990,8.6,6.9
0400000US04,4,Arizona,,72121,RV (recreational vehicle) parks and recreational camps,,2012,245,173096,34895,8423,1990,8.6,6.9
0400000US04,4,Arizona,,721211,RV (recreational vehicle) parks and campgrounds,,2012,205,141421,24648,6090,1485,8.1,6.9
0400000US04,4,Arizona,,721214,Recreational and vacation camps (except campgrounds),,2012,40,31675,10247,2333,505,10.8,6.9
0400000US04,4,Arizona,,7213,Rooming and boarding houses,,2012,15,18747,3970,903,148,44,3.9
0400000US04,4,Arizona,,72131,Rooming and boarding houses,,2012,15,18747,3970,903,148,44,3.9
0400000US04,4,Arizona,,721310,Rooming and boarding houses,,2012,15,18747,3970,903,148,44,3.9
0400000US04,4,Arizona,,722,Food services and drinking places,,2012,10360,9664838,2840414,720759,203083,16.9,11.2
0400000US04,4,Arizona,,7223,Special food services,,2012,632,852305,214070,53287,13143,4.5,5.5
0400000US04,4,Arizona,,72231,Food service contractors,,2012,472,767227,188939,47063,11446,0.8,5.1
0400000US04,4,Arizona,,722310,Food service contractors,,2012,472,767227,188939,47063,11446,0.8,5.1
0400000US04,4,Arizona,,72232,Caterers,,2012,110,68025,22295,5581,1423,31.4,8.2
0400000US04,4,Arizona,,722320,Caterers,,2012,110,68025,22295,5581,1423,31.4,8.2
0400000US04,4,Arizona,,72233,Mobile food services,,2012,50,17053,2836,643,274,62.9,8.6
0400000US04,4,Arizona,,722330,Mobile food services,,2012,50,17053,2836,643,274,62.9,8.6
0400000US04,4,Arizona,,7224,Drinking places (alcoholic beverages),,2012,617,311036,74585,18709,6823,32.4,12
0400000US04,4,Arizona,,72241,Drinking places (alcoholic beverages),,2012,617,311036,74585,18709,6823,32.4,12
0400000US04,4,Arizona,,722410,Drinking places (alcoholic beverages),,2012,617,311036,74585,18709,6823,32.4,12
0400000US04,4,Arizona,,7225,Restaurants and other eating places,,2012,9111,8501497,2551759,648763,183117,17.6,11.7
0400000US04,4,Arizona,,72251,Restaurants and other eating places,,2012,9111,8501497,2551759,648763,183117,17.6,11.7
0400000US04,4,Arizona,,722511,Full-service restaurants,,2012,3882,4085218,1465341,378395,96172,20.9,13.5
0400000US04,4,Arizona,,722513,Limited-service restaurants,,2012,4239,3784722,935464,232200,75187,14.3,10.5
0400000US04,4,Arizona,,722514,"Cafeterias, grill buffets, and buffets",,2012,121,140303,34619,9123,2523,23.7,12.9
0400000US04,4,Arizona,,722515,Snack and nonalcoholic beverage bars,,2012,869,491254,116335,29045,9235,13.7,6.7
0400000US05,5,Arkansas,,72,Accommodation and food services,,2012,5473,4307264,1182546,285148,95854,20.9,8.7
0400000US05,5,Arkansas,,721,Accommodation,,2012,824,646688,162889,37473,10466,17.3,6.5
0400000US05,5,Arkansas,,7211,Traveler accommodation,,2012,729,599817,152270,35382,9984,14.8,6.3
0400000US05,5,Arkansas,,72111,Hotels (except casino hotels) and motels,,2012,654,574922,146665,34339,9549,14.7,6.3
0400000US05,5,Arkansas,,721110,Hotels (except casino hotels) and motels,,2012,654,574922,146665,34339,9549,14.7,6.3
0400000US05,5,Arkansas,,72119,Other traveler accommodation,,2012,75,24895,5605,1043,435,16.8,5.2
